Table 1.  Disease-modifying drugs in independent trials involving more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
,NCT02006472,P2,HD,408,66 w,Change from baseline in Unified Huntington's Disease Rating Scale-Total Motor Score (UHDRS-TMS) at week 26; Change from Baseline in modified Physical Performance Test (mPPT); Summary of participants with Adverse Events,,2013,2019; Completed,,,
,NCT02494778,P2,HD,248,364 w,Percentage of participants with adverse events; Proportion of subjects (%) who prematurely discontinued from the study; Proportion of subjects (%) who prematurely discontinued from the study due to AEs,,2015,2019; Terminated,,,
,NCT00665223,P3,HD,437,"At 4, 8, 12 and 26 w","The primary objective is to assess the effects of ACR16 on voluntary motor function in HD patients, as defined as the sum score of items 4-10 and 13-15 of the UHDRS motor assessment (a modified motor score mMS) at 26 weeks of treatment.; Safety and tolerability assessed from adverse event profile.; The effects of ACR16 on CGI, cognitive function, behaviour and symptoms of depression and anxiety.",,2008,2016; Completed,,,
CNM-Au8,NCT04297683,P2/P3,ALS,640,24 Weeks,Disease Progression; Respiratory Function; Muscle Strength; Survival,,2020,2021; Recruiting,,,
,NCT03815916,P2,PD,30,at 12 w,Measurements of Global Impression of Disease Improvement; Measurements of Global Impression of Disease Severity; Measurements of disease progression; Change in 31P-MRS Redox Ratio (NAD+/NADH); Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of NAD+; Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of NADH; Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of Pooled NAD+/NADH; Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of ATP; Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of Phosphocreatine (PCr); Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of Intracellular Inorganic Phosphate (Pi(in)); Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of Extracellular Inorganic Phosphate (Pi(ex)); Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of Uridine Diphosphate Glucose (UDPG); Mean Change in 31P-MRS Membrane Component Tissue Concentration of Phosphoethanolamine (PE); Mean Change in 31P-MRS Membrane Component CNS Tissue Concentration of Phosphocholine (PC); Mean Change in 31P-MRS Membrane Component CNS Tissue Concentration of Glycerolphophoethanolamine (GPE); Mean Change in 31P-MRS Membrane Component CNS Tissue Concentration of Glycerophosphocholine (GPC); Measures of Gait; Measures of Balance; Measure of Mobility,,2019,2020; Recruiting,,,
,NCT04098406,P2,ALS,42,36 w,"Electromyography measures of disease progression.; Mean change in the average difference between active treatment and placebo from Baseline as measured by MScanFit MUNE of the Abductor Pollicus Brevis.; Mean change in the average difference between active treatment and placebo from Baseline for the MUSIXscore(4).; Mean change in the average difference between active treatment and placebo from Baseline for the Neurophysiological Index (NPI) of the ADM.; Mean change in the average difference between active treatment and placebo from Baseline for the Split Hand Index (SI).; Mean change between active treatment and placebo in the proportion of patients experiencing a > 6-point decline in the ALSFRS-R between active treatment and placebo.; Mean change in average ALSFRS-R score; Mean change in slope of the decline of the ALSFRS-R; Mean change between active treatment and placebo for the Combined Assessment of Function and Survival (CAFS), a joint-rank analysis of function (ALSFRS-R) and overall survival; Mean change in the proportion of patients experiencing ALS clinical composite disease progression; Mean change in rate of disease progression defined as the average change in the Functional Survival (FS) score ([Max ALSFRS-R minus current ALSFRS-R score]/symptom duration in months); Mean change in the average difference between active treatment and placebo for respiratory function as measured by forced vital capacity (FVC); Mean change in average difference between active treatment and placebo for the ALSSQOL-Short Form questionnaire (ALSSQOL-SF); Mean change in average difference between active treatment and placebo for the Clinician's Global Impression (CGI); Mean change in average difference between active treatment and placebo for the Patient's Global Impression (PGI); Difference in the proportion of patients utilizing health economic outcome measures",,2019,2020; Recruiting,,,
,NCT04081714,,ALS,,,,,2019,2020; Available,,,
,NCT04414345,P2/P3,ALS,160,24 Weeks,Disease Progression; Respiratory Function; Muscle Strength; Survival Comparison,,2020,2020; Enrolling by invitation,,,
,NCT03843710,P2,ALS,24,At 12 Weeks,Change in 31P-MRS Redox Ratio (NAD+/NADH); Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of NAD+; Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of NADH; Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of ATP; Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of Phosphocreatine (PCr); Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of Intracellular Inorganic Phosphate (Pi(in)); Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of Extracellular Inorganic Phosphate (Pi(ex)); Mean Change in 31P-MRS Bioenergetic Metabolite CNS Tissue Concentration of Uridine Diphosphate Glucose (UDPG); Mean Change in 31P-MRS Membrane Component Tissue Concentration of Phosphoethanolamine (PE); Mean Change in 31P-MRS Membrane Component CNS Tissue Concentration of Phosphocholine (PC); Mean Change in 31P-MRS Membrane Component CNS Tissue Concentration of Glycerophosphoethanolamine (GPE); Mean Change in 31P-MRS Membrane Component CNS Tissue Concentration of Glycerophosphocholine (GPC),,2019,2020; Not yet recruiting,,,
Verdiperstat,NCT04297683,P2/P3,ALS,640,24 Weeks,Disease Progression; Respiratory Function; Muscle Strength; Survival,,2020,2021; Recruiting,,,
,NCT04616456,Early P1,MSA,8,1 month,standardized uptake values (SUV); standardized uptake ratios (SUVRs),,2020,"2021; Active, not recruiting",,,
,NCT04436510,P2/P3,ALS,160,24 Weeks,Disease Progression; Respiratory Function; Muscle Strength; Survival,,2020,2020; Enrolling by invitation,,,
,NCT03952806,P3,MSA,336,Change from Baseline to Week 48,"Evaluate the efficacy of BHV-3241, compared to placebo, as measured by a change from baseline in a modified Unified MSA Rating Scale (UMSARS) score at Week 48.; Assess the safety and tolerability of BHV-3241, relative to placebo, in subjects with MSA.; Evaluate the efficacy of BHV-3241, compared to placebo, as measured by the Clinical Global Impression of Improvement (CGI-I) score at Week 48.; Evaluate the impact of BHV-3241 on quality of life, compared to placebo, as measured by a change from baseline in the motor and non-motor subscales of the MSA- QoL scale at Week 48.; Evaluate the efficacy of BHV-3241, compared to placebo, as measured by a change from baseline in the UMSARS Part I and Part II total score at Week 48.",,2019,"2020; Active, not recruiting",,,
High dose ANAVEX2-73,NCT03790709,P2/P3,AD,450,48 w,ADAS-Cog (Alzheimer Disease Assessment Scale-Cognition); ADCS-ADL (Activities of Daily Living); Number of participants with treatment-related adverse events as assessed by CTCAE v4.03; CDR-SB (Clinical Dementia Rating Scale Sum of Boxes); RSCAQ sleep score; Number of participants with change of brain volume assessed by MRI; Blood assessment; CSF assessment; Number of participants with pre-specified genetic variants,,2019,2021; Recruiting,,,
,NCT03774459,P2,PD,132,14 w,Cognitive Drug Research (CDR) Computerized Assessment System Continuity of Attention; Number of participants with treatment-related adverse events as assessed by CTCAE v4.0; MDS-UPDRS Part III Total Score (Motor Scores); SDS-CL-25,,2018,2020; Completed,,,
Mid dose ANAVEX2-73,NCT03790709,P2/P3,AD,450,48 w,ADAS-Cog (Alzheimer Disease Assessment Scale-Cognition); ADCS-ADL (Activities of Daily Living); Number of participants with treatment-related adverse events as assessed by CTCAE v4.03; CDR-SB (Clinical Dementia Rating Scale Sum of Boxes); RSCAQ sleep score; Number of participants with change of brain volume assessed by MRI; Blood assessment; CSF assessment; Number of participants with pre-specified genetic variants,,2019,2021; Recruiting,,,
,NCT03774459,P2,PD,132,14 w,Cognitive Drug Research (CDR) Computerized Assessment System Continuity of Attention; Number of participants with treatment-related adverse events as assessed by CTCAE v4.0; MDS-UPDRS Part III Total Score (Motor Scores); SDS-CL-25,,2018,2020; Completed,,,
Quetiapine,NCT04373317,P4,PD,358,8 Weeks,CGI-I Psychosis; SAPS-PD; MDS-UPDRS III; Zarit Caregiver Burden Scale,,2020,2021; Not yet recruiting,,,
,NCT04164758,P2,PD,11,4 Weeks Treatment Duration,Treatment-emergent adverse events (TEAEs),,2019,2020; Terminated,,,
,NCT00015548,N/A,AD,450,,,,2001,2015; Completed,,,
,NCT00375557,P4,AD,0,6 w,The change from the Baseline to the End of the Study/Early Termination visit in the CMAI & Quality of life scale scores.,,2006,2015; Withdrawn,,,
Pimavanserin,NCT04373317,P4,PD,358,8 Weeks,CGI-I Psychosis; SAPS-PD; MDS-UPDRS III; Zarit Caregiver Burden Scale,,2020,2021; Not yet recruiting,,,
,NCT04292223,P4,PD,53,16 Weeks,Change from baseline (Week 0) to Week 16 on the modified Functional Status Questionnaire (mFSQ) total score; Change from baseline to Week 16 on the Schwab and England ADL Scale (Caregiver and Patient Version); Change from baseline to Week 16 on the Movement Disorders Society-Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Parts I and II (Caregiver and Patient Version); Week 16 Clinical Global Impression - Improvement (CGI-I) score for hallucinations and delusions; Change from Baseline to Week 16 on the Clinical Global Impression - Severity of Illness (CGI-S) score for hallucinations and delusions; Week 16 on the Patient Global Impression of Improvement (PGI-I) score for hallucinations and delusions,,2020,2021; Recruiting,,,
,NCT04164758,P2,PD,11,4 Weeks Treatment Duration,Treatment-emergent adverse events (TEAEs),,2019,2020; Terminated,,,
,NCT03482882,P2,PD,47,From baseline to Week 8,"Change From Baseline in EuroQol-5 Dimensions-5 Levels (EQ-5D-5L); The Number (or Percentage) of Responders; Change From Baseline (CFB) in SCOPA Daytime Sleepiness (DS) Score; Change From Baseline (CFB) in Scale of Outcomes in PD-Sleep Scale (SCOPA) Nighttime Sleep (NS)Score; Change From Baseline (CFB) in Clinical Global Impression-Severity (CGI-S); Clinical Global Impression-Improvement (CGI-I); Change From Baseline (CFB) in HAMD-17 Total Score at Weeks 2, 4, and 6; Change From Baseline to Week 8 in HAMD-17 (Hamilton Depression Scale -17 Items) Total Score",,2018,2020; Completed,,,
,NCT03118947,P2,AD,79,52 w,Treatment Emergent Adverse Events (TEAEs),,2017,2020; Completed,,,
E2027,NCT03467152,P2,DLB,320,"Baseline, Week 12, and Week 16","Percentage of Participants with Markedly Abnormal Laboratory Values and Shift from Baseline in Laboratory Values; Percentage of Participants with Orthostatic Hypotension and Orthostatic Tachycardia; Mean Change from Baseline in the Montreal Cognitive Assessment (MoCA) Total Score at 12 Weeks of Treatment; Mean Clinician's Interview Based Impression of Change Plus Caregiver Input (CIBIC-Plus) Scale Score at 12 Weeks of Treatment; Mean Clinician's Global Impression of Change - In Dementia With Lewy Bodies (CGIC-DLB) Scale Score at 12 Weeks of Treatment; Mean Change from Baseline in the Cognitive Fluctuation Inventory (CFI) Score at 12 Weeks of Treatment; Mean Change from Baseline in the Mini-Mental State Examination (MMSE) Total Score at 12 Weeks of Treatment; Mean Change from Baseline in the NPI Total Score at 12 Weeks of Treatment; Mean Change from Baseline in the NPI Subscore at 12 Weeks of Treatment; Mean Change from Baseline in the NPI Caregiver Score at 12 Weeks of Treatment; Percentage of Participants with Adverse Events (AEs), including Severe Adverse Events, Serious AEs, AEs Resulting in Study Discontinuation; Percentage of Participants with Abnormal Electrocardiogram (ECG) Parameters and ECG Findings; Percentage of Participants with Suicidal Ideation or Suicidal Behavior as Measured Using Columbia Suicide Severity Rating Scale (C-SSRS); Change from Baseline in Total Score of Unified Parkinson's Disease Rating Scale part III: Motor Examination (UPDRS-III)",,2018,2021; Completed,,,
,NCT04764669,P2,PD,32,"Baseline, Day 84 and Day 112","Percentage Change From Baseline in CSF cGMP at 9 Weeks of Treatment; Percentage of Participants With Adverse Events (AEs) Including Severe AEs, Serious AEs, AEs Resulting in Study Discontinuation; Percentage of Participants With Orthostatic Hypotension and Orthostatic Tachycardia; Percentage of Participants With Markedly Abnormal Laboratory Values and Shift from Baseline in Laboratory Values; Percentage of Participants With Abnormal Electrocardiogram (ECG) Parameters and ECG Findings; Percentage of Participants With Suicidal Ideation or Suicidal Behavior as Measured Using Columbia Suicide Severity Rating Scale (C-SSRS); Change From Baseline in Total Score of Unified Parkinson's Disease Rating Scale part III: Motor Examination (UPDRS-III)",,2021,2021; Not yet recruiting,,,
Cannabidiol,NCT04831294,N/A,CBD,15,"Collected pre-drug, post-drug, pre-placebo, and post-placebo; through study completion (4 time points over a 72 hour period)",Behavioral Measures - Change in Go/NoGo Reaction Time; Behavioral Measures - Change in N-back Reaction Time; Behavioral Measures - Change in Go/No-Go Accuracy; Behavioral Measures - Change in N-back Accuracy; Change in Concentration of Neurometabolites; Changes in Functional Connectivity; Blood Oxygen Level Dependent (BOLD) Changes; BOLD - Change in Threat Response to Subliminal Fear Stimuli,,2021,2021; Recruiting,,,
,NCT04777643,N/A,CBD,10,fMRI will begin 2 hours post-drug administration and will last no more than 1 hour.,Amygdala activation during stress; Insula activation during social exclusion; Patterns of amygdala functional connectivity during stress; Patterns of insula functional connectivity during social exclusion,,2021,2021; Not yet recruiting,,,
,NCT04482244,P2,CBD,50,"Baseline , 1 day of the drug administration pre-dose","Change in Anxiety Score-Visual Analog Mood Scale (VAMs) anxiety subscale,; Number of Participants With Treatment-Related Adverse Events (PRO-CTCAE™) 5.; Mood Changes; Nausea Rate; Pain Rate; Pain intensity scale (PINS)",,2020,2021; Not yet recruiting,,,
,NCT03582137,P2,PD,75,"From baseline to the end of 2.5 mg/kg/day, assessed up to 3 w","Change in Liver function monitoring --Liver function test; Change in Neuropsychiatric Inventory (NPI); Change in Movement Disorders Society-Unified Parkinson's disease rating scale (MDS-UPDRS) Part III (motor examination) scores; Change in Frequency of study-related adverse events; Change in Pain Intensity 3a short form; Change in Liver monitoring -- liver function impairment related adverse events; Change in Vital signs-Blood pressure (systolic and diastolic); Change in Vital signs-heart rate; Change in Vital signs--respiratory rate; Change in Vital signs--weight; Change in Vital signs--temperature; Change in Physical exam; Change in neurological exam; Change in Electrocardiograms; Change in Laboratory Values--hematology; Change in Laboratory Values--chemistry; Change in Montreal Cognitive Assessment (MoCA); Change in Wechsler test for Adult reading; Change in Grooved Pegboard Test; Change in Symbol digit modalities test; Change in Paced auditory serial addition test; Change in Controlled oral word association test; Change in Hopkins verbal learning test; Change in Judgment of line orientation; Change in semantic verbal fluency; Change in Anxiety Short Form response; Change in Scales of Outcomes in Parkinson's disease (SCOPA) sleep; Change in Stanford Sleepiness Scale; Change in Depression short form; Change in Emotional and behavioral dyscontrol short form; Change in Fatigue severity scale; Change in Pain Interference 4a short form; Change in Impulsive-Compulsive disorders in Parkinson's disease rating scale (QUIP-RS); Change in The Columbia-Suicide Severity rating scale (C-SSRS); Change in MDS-UPDRS; Change in Unified Dyskinesia Rating Scale; Change in Smartphone-based timed UP&GO (TUG); Change in IRLS; Change in RBDSQ; Change in Overactive bladder symptom score; Change in Parkinson's disease questionnaire (PDQ-39); Change in EuroQol-5 Dimension-5 level; Change in Proportion of participants that discontinue the study due to study drug intolerance; Change in Total scores on items 3.17 and 3.18 in MDS-UPDRS; Change in Item 2.10 in MDS UPDRS; Change in Item 3.15 and 3.16 in MDS UPDRS; Change in Rigidity sub scores in MDS UPDRS; Change in Bradykinesia sub scores in MDS UPDRS; Change in Axial sub scores in MDS UPDRS; Change in Bulbar sub scores in MDS UPDRS; Change in Insomnia severity index; Change in Modified dysfunctional beliefs and attitudes about sleep questionnaire; Change in Pittsburgh sleep quality index; Change in Home sleep monitoring (polysomnograph, PSG); Change in Dermatology Quality of Life Index; Change in Dermatology photography evaluation; Change in Non-motor symptoms Scale for Parkinson's disease (NMSS)",,2018,2021; Recruiting,,,
ANAVEX2-73,NCT04314934,P2/P3,AD,450,96 w,Number of participants with treatment-related adverse events as assessed by CTCAE v4.03; ADAS-Cog (Alzheimer Disease Assessment Scale-Cognition); ADCS-ADL (Activities of Daily Living),,2020,2021; Recruiting,,,
,NCT02756858,P2,AD,21,"Baseline; Weeks: 13, 26, 39, 52, 65, 78, 91, 104, 117, 130, 143, 156, 169, 182, 195, 208",Score from ADCS-ADL (Alzheimer's Disease Co-operative Study - Activities of Daily Living Inventory); HAM-D Score (Hamilton Psychiatric Rating Scale for Depression); Number of participants with treatment-related adverse events as assessed by CTCAE v4.0; Score from MMSE (Mini-mental state examination score),,2016,2021; Completed,,,
,NCT04575259,P2,PD,120,48 w,Number of participants with treatment-related adverse events as assessed by CTCAE v4.03; RSBDQ (REM Sleep Behavior Disorder Screening Questionnaire); MDS-UPDRS Part III Total Score (Motor Scores); MoCA (Montreal Cognitive Assessment); Microbiota,,2020,2020; Recruiting,,,
Nicotinamide riboside,NCT04430517,Early P1,"AD, MCI",50,"Baseline, 6 and 12 w, pre- and post- 1000 mg NR daily",Changes in brain NAD+; Changes in brain redox state; Changes in mitochondrial function; Changes in antioxidant glutathione (GSH) levels; Changes in cognitive status; Changes in functional status,,2020,2021; Recruiting,,,
,NCT02942888,N/A,MCI,46,10 w,Change in Cognitive Assessment - Montreal Cognitive Assessment (MoCA) - from baseline at 10 weeks; Change in cerebral blood flow from baseline at 10 weeks; Change in plasma NAD from baseline at 10 weeks; Change in Physical Performance - Short Physical Performance Battery (SPPB) - from baseline at 10 weeks; Change in Physical Performance - Instrumental Activities of Daily Living (IADLs) - from baseline at 10 weeks; Change in endothelial function from baseline at 10 weeks; Change in Cognitive Assessment - Geriatric Depression Scale (GDS) - from baseline at 10 weeks; Change in Cognitive Assessment - Geriatric Anxiety Scale (GAS) - from baseline at 10 weeks; Change in Cognitive Assessment - Clock Drawing Task Protocol (CLOX) - from baseline at 10 weeks; Change in Cognitive Assessment - Executive Interview (EXIT) - from baseline at 10 weeks; Change in Cognitive Assessment - Test of Auditory Processing Skills (TAPS) - from baseline at 10 weeks; Change in Physical Performance - Grip Strength - from baseline at 10 weeks,,2016,"2021; Active, not recruiting",,,
Idebenone,NCT04071639,P1,HD,60,Five years,The Unified Huntington's Disease Rating Scale; Brain MRI,,2019,2021; Recruiting,,,
,NCT04152655,P2/P3,PD,180,24 m,Clinical diagnosis of parkinson disease; Dopamine transporter positron emission tomography (DAT-PET) change; Quantitative motor testing change,,2019,2020; Recruiting,,,
Metformin,NCT04098666,P2/P3,MCI,370,24 m,Free and Cued Selective Reminding Test (FCSRT); Alzheimer's Disease Cooperative Study Preclinical Alzheimer's Cognitive Composite (PACC-ADCS); Cortical Thickness; White matter hyper intensity volume (WMH); Brain amyloid; Brain Tau; plasma amyloid; plasma tau; plasma neurofilament light,,2019,2021; Recruiting,,,
,NCT04826692,P3,HD,60,Baseline to Week 52,Analyze the light chain protein of neurofilaments in peripheral blood.; Evaluate the effect of metformin on the scores obtained in different cognitive subtests that make up the Unified Huntington's Disease Rating Scale (UHDRS).; Evaluate the efficacy of metformin on motor function in patients with Huntington's disease using the Unified Huntington's Disease Scale Total Motor Score.; Evaluate the effect of metformin on functional capacity in patients with Huntington´s disease using Unified Huntington's Disease Scale Functional Capacity.; Evaluate the effect of metformin on behavioral signs and symptoms in patients with Huntington´s disease using Problem Behaviors Assessment-Short form (PBA-s); Evaluate if there are genetic markers associated to metformin by analysis pharmacogenetic.; Evaluate the effect of metformin on the quality of life in patients with Huntington´s disease.; Evaluate the effect of metformin on the degree of independence in patients with Huntington's disease using the Unified Huntington's Disease Rating Scale Functional assessment and independence assessment.; Evaluate the safety and tolerability of metformin in patients with Huntington's disease.,,2021,2021; Not yet recruiting,,,
,NCT04220021,P2,"FTDLD, ALS",18,Baseline through Week 52,Number of subjects with treatment-emergent adverse events [Safety and Tolerability]; Change in RAN protein levels; Change in ALS Functional Rating Scale (ALSFRS-R) score,,2020,2021; Recruiting,,,
,NCT00620191,P2,MCI,80,12 m,Change in Plasma Amyloid Beta-42; Change in Relative Glucose Uptake (rCMRg) in the Posterior Cingulate-precuneus.; Change in Score of the Alzheimer's Disease Assessment Scale-cognitive Subscale (ADAS-cog); Change in Total Recall Score in the Selective Reminding Test,,2008,2020; Completed,,,
,NCT02986659,P4,MCI,34,"baseline, 12 w, 24 w",Change in eigengene scores,,2016,2019; Completed,,,
,NCT01965756,P2,AD,20,baseline and 8 w,Cerebrospinal Fluid Total Tau Concentration; Cerebrospinal Fluid Phosphorylated Tau Concentration; Cerebrospinal Fluid Amyloid Beta Concentration; Trails-B; Word List Memory Total - ADAS-cog,,2013,2017; Completed,,,
,NCT02409238,P4,MCI,360,2 years,Secondary clinical endpoints Montreal Cognitive Assessment scale; Primary efficacy endpoint (Cerebral Glucose Metabolic Rate); Primary cognitive endpoint (Neuropsychological Performance); Secondary clinical endpoints Subjective Memory and Cognitive Complaint (SMCC; Secondary clinical endpoints Basic Activities of Daily Liver (ADL); Secondary clinical endpoints Cognitive Instrumental Activities of Daily Living Scale; Secondary clinical endpoints Global Clinical Dementia Rating Sum of Boxes; Secondary clinical endpoints Mini-Mental State Examination; Secondary adherence endpoints fasting plasma insulin; Secondary adherence endpoints Homeostatic Model Assessment (HOMA); Secondary adherence endpoints Lifestyle Intervention (Change in Weight); Secondary adherence endpoints Body Mass Index; Secondary adherence endpoints Waist Circumference; Secondary adherence endpoints Fasting plasma glucose; Secondary adherence endpoints Glycated Hemoglobin (HbA1c); Secondary adherence endpoints Fasting Lipids,,2015,2016; Unknown status,,,
Salsalate,NCT02422485,P1,PSP,10,6 m,"Changes in motor function; Number of patients experiencing drug limiting toxicity (DLT),; Changes in cognition; Changes in activities of daily living; Changes in behavior; Changes in concentration of cerebrospinal fluid (CSF) biomarkers; Changes in brain volume; Changes in motor function, cognition, activities of daily living, and behavior; Changes in saccade eye movements; Changes in sleep and activity levels",,2015,2021; Completed,,,
,NCT03277573,P1,AD,40,6;12 m,Change in Cerebrospinal Fluid Biomarkers of neurofilament light chain; Change in Cerebrospinal Fluid Biomarkers of total tau; Change in Cerebrospinal Fluid Biomarkers of beta amyloid 1-42; Incidence of Treatment-Emergent Adverse Events; Changes in Pharmacokinetic properties of Salsalate in Plasma and Cerebrospinal Fluid; Changes in Pharmacodynamic properties of Salsalate in Cerebrospinal Fluid; Change in brain volume on brain MRI; Change in structural and functional connectivity on brain MRI; Change in Cerebrospinal Fluid Biomarkers of phosphorylated tau; Change in Alzheimer's Disease Assessment Scale-cognitive scale; Change in Mini Mental State Examination; Change in Alzheimer's disease Clinical Activities of Daily Living Scale; Change in Clinical Dementia Rating Scale (CDR-SB),,2017,"2021; Active, not recruiting",,,
Dasatinib + Quercetin,NCT04685590,P2,"MCI, AD",48,Baseline to Week 48,Serious Adverse Events (SAEs) and Adverse Events (AEs) in treatment group as compared to placebo group; Change in cellular senescence blood marker Senescence-Associated Secretory Phenotype (SASP) composite score; Change in cellular senescence blood marker Cluster of Differentiation 3 (CD3) in blood; Change in cellular senescence blood marker cyclin-dependent kinase inhibitor 2A (p16INK4A+) in blood; Change in cellular senescence blood marker T cells in blood; Change in Clinical Dementia Rating Scale Sum of Boxes (CDR-SB) slope; Change in the 14 - item Alzheimer's Disease Assessment Scale - Cognitive subscale (ADAS-Cog 14) slope; Change in Positron Emission Tomography (PET) - Computed Tomography (CT) - brain tau pathology,,2020,2021; Not yet recruiting,,,
,NCT04063124,P1/P2,AD,5,Change from 0 to 12 w,Senescence marker IL-6 in CSF; Alzheimer's Disease marker - CSF amyloid beta; Brain penetrance of Dasatinib (D); Brain penetrance of Quercetin (Q); Alzheimer's Disease marker - CSF tau; Senescence marker P16 in CSF; Electronic gait mapping under single and dual-task conditions; Montreal Cognitive Assessment (MoCA),,2019,2020; Recruiting,,,
