Table 5.  devices in independent trials involving more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
,NCT02266004,N/A,PD,9,"baseline, 3 w",Change in the Freezing of Gait Questionnaire (FOG-Q); Change in the Auditory Consonant Trigrams Test (ACT); Change in the Montreal Cognitive Assessment (MOCA); Change in the Trail Making Test Time; Change in Backward Digit Span; Change in Glutamate/Gamma Aminobutyric Acid(GABA) Ratio; Change in Motor Threshold; Change in Timed Up-and-Go (TUG) Time; Change in Postural Sway; Change in Stride Length; Change in Motor Scores as Measured by Unified Parkinson's Disease Rating Scale (UPDRS); Change in Walking Speed,,2014,2020; Terminated,,,
,NCT04046055,N/A,PD,7,"Through study completion, up to 6 m","Time to complete the fast 30 meter walk test; Distance walked in the 6 Minute Walk Test; Time to complete the Timed Up and Go test; Movement of the center of pressure (2D; forward-backward, left-right) while standing on a firm surface (force platform) for 1 minute; Movement of the center of pressure (2D; forward-backward, left-right) while standing on a foam surface (6 cm foam pad placed on top of force platform) for 1 minute; Movement of the center of pressure (1D; forward-backward) while standing on a firm surface for 1 minute; Movement of the center of pressure (1D; forward-backward) while standing on a foam surface for 1 minute; Movement of the center of pressure (1D; left-right) while standing on a firm surface for 1 minute; Movement of the center of pressure (1D; left-right) while standing on a foam surface for 1 minute",,2019,2020; Completed,,,
,NCT03670615,N/A,"AD, MCI",30,Change over 2 w (Midpoint to Endpoint),Change in global cognitive function: The Montreal Cognitive Assessment (MoCA) Total Scores; Changes in concentration of blood biomarkers of brain plasticity; Change in neuropsychiatric symptoms: The Neuropsychiatric Inventory (NPI); Change in cognition: n-back reaction time; Change in cognition: n-back accuracy; Change in cognition: The Word Recall Task from the Alzheimer's Disease Assessment Scale-Cog (ADAS-Cog); Change in cognition: The Word Recognition Task from the Alzheimer's Disease Assessment Scale Cog (ADAS-Cog),,2018,2020; Recruiting,,,
,NCT04171804,N/A,PD,20,Up to one month,"Changes in cognitive performance in Trail Making B Test during the study period; Changes in response conflict in the Stroop Test during the study period; Change in the verbal fluency performance during the study period; Changes in Trail Making A Test performance during the study period; Changes in digit span during the study period; Changes in delayed recall performance during the study period; Changes in verbal memory processes performance during the study period; Changes in face recognition performance during the study period; Changes in judgment of line orientation performance during the study period; Changes in the naming performance during the study period; Changes in amplitudes (in microvolts) for parameters from the ERP tests during the study period for parameters from the ERP tests during the study period; Changes in latencies (in milliseconds) for parameters from the ERP tests during the study period for parameters from the ERP tests during the study period; Changes in resting state absolute powers (measured in µv2/Hz) of alpha, beta, delta, theta, gamma bands during both eyes closed and eyes open conditions during the study period; Changes in resting state relative powers of alpha, beta, delta, theta, gamma bands during both eyes closed and eyes open conditions during the study period; Changes in resting state dominant frequencies during both eyes closed and eyes open conditions during the study period; Changes in task accuracies from the behavioral responses during the Two-tone auditory oddball and Continuous Performance Test ERP paradigms during the study period; Changes in reaction times from the behavioral responses during the Two-tone auditory oddball and Continuous Performance Test ERP paradigms during the study period; Changes in Parkinson's Disease Quality of Life Questionnaire (PDQ-39) Score during the study period; Changes in Parkinson's Disease Fatigue Scale Score during the study period; Changes in Apathy Evaluation Scale Score during the study period",,2019,2019; Recruiting,,,
,NCT03288363,N/A,AD,80,3 m,"Comparing between the active tDCS group with the placebo tDCS group, the cognitive subscale of the Alzheimer's Disease Assessment Scale (ADAS-Cog) score, 12 weeks after the start of the course, in subjects with early Alzheimer's disease",,2017,2019; Recruiting,,,
,NCT04092556,N/A,MSA,10,per session: at baseline and within 30 minutes tDCS treatment completion,Change from posturography; Change from International Cooperative Ataxia Rating Scale (ICARS); Change from temporospatial parameters of gait,,2019,2019; Recruiting,,,
,NCT03441152,N/A,MCI,66,15 minutes,Montreal Cognitive Assessment (MoCA); Digit Span Test; Trial Making Test (TMT); Riverhead Behavioral Memory Test (3rd edition) (RBMT-3); Cognitive training activities ( Neuronup cognitive training); EEG,,2018,2018; Unknown status,,,
,NCT03313518,N/A,AD,30,ten d,"Change in measurement of improvement in cognitive function by using MMSE; Change in measurement of improvement in cognitive function by cornell Scale; The change of measurement of brain damage biomarkers modulation in plasma (i.e. Tau, Beta-Amyloid, Lipid Peroxidation) cornell Scale",,2017,2017; Completed,,,
,NCT02110043,N/A,MCI,21,once,Performance in LOCATO task (Visual-spatial learning and memory) after a combination of intensive visual-spatial training and tDCS; long term effects; functional changes: Connectivity; cortical excitability; Quality of Life; memory; affective state; genotyping of learning related polymorphisms,,2014,2017; Unknown status,,,
,NCT02518412,N/A,AD,30,Changes in results from neuropsychological testing pre (before the first stimulation) og post treatment (after the last stimulation). There will be a ten d time frame from pre-test to post-test.,Neuropsychological testing,,2015,2015; Unknown status,,,
,NCT01877148,P2,PD,12,"At baseline, after 1 month",Change From Jebsen-Taylor Hand Function Test - Jebsen Test; Change From Parkinson Disease Quality of Life - PDQL; Change From Cortical Excitability Via Single Transcranial Magnetic Stimulation; Change From Unified Parkinson´s Disease Rating Scale - UPDRS,,2013,2015; Completed,,,
,NCT02104401,P1,PD,10,16 w,Improvement of Motor and Speech Symptoms of Parkinson's Disease or Related Disorders; Improvement of Neuropsychiatric Symptoms of Parkinson's Disease or Related Disorders,,2014,2014; Completed,,,
,NCT01771211,N/A,MCI,18,"Change in fMRI activity between Assessment 1 (week 1) and Assessment 2 (week 2), assessments 1 and 2 are seperated by one week",Number of correct responses during word-generation tasks (max. 60); Neural activity during word-generation task assessed by functional magnetic resonance imaging (fMRI),,2013,2013; Completed,,,
sham stimulation,NCT03920826,N/A,AD,40,"up to 21 d (end of intervention), 3 m","Change in Alzheimer's Disease Assessment Scale cognitive subscale (ADAS-cog, 11-items version).; Change in brain volume and white matter integrity; Change in brain connectivity; Change in amyloid deposit in brain; Change in Mini-mental State Examination; Change in Montreal Cognitive Assessment; Change in Clinical Dementia Rating Scale sum of the boxes; Change in memory function; Change in Digit span forward; Change in Digit span backward; Change in Trail Making Test; Change in Boston Naming Test; Change in Neuropsychiatric Inventory (NPI); Change in Geriatric Depression Scale (GDS); Change in Activities of Daily Living; Side-effects of tACS",,2019,2021; Recruiting,,,
,NCT04088643,N/A,AD,40,"up to 21 d (end of intervention), 3 m","Change in Alzheimer's Disease Assessment Scale cognitive subscale (ADAS-cog, 11-items version); Change in Alzheimer's Disease Assessment Scale cognitive subscale (ADAS-cog, 11-items version).; Change in brain volume and white matter integrity; Change in brain connectivity; Change in Mini-mental State Examination; Change in Montreal Cognitive Assessment; Change in Clinical Dementia Rating Scale sum of the boxes; Change in memory function; Change in Digit span forward; Change in Digit span backward; Change in Trail Making Test; Change in Boston Naming Test; Change in Neuropsychiatric Inventory (NPI); Change in Geriatric Depression Scale (GDS); Change in Activities of Daily Living; Side-effects of tACS",,2019,2021; Recruiting,,,
,NCT04431570,N/A,PD,66,"through study completion, an average of 10 d",the change of freezing of gait questionnaire (FOGQ); the change of freezing of gait score (FOG score); the change of score of Movement Disorder Society-Unified Parkinson's Disease Rating Scale (MDS-UPDRS) part III; the change of Hamilton Depression (HAMD) Scale; the change of Mini-mental State Examination (MMSE) scale; the change of Parkinson's Disease Questionnaire (PDQ-39); functional image of the brain (FMRI),,2020,2020; Not yet recruiting,,,
,NCT02589925,N/A,PD,10,48 w,Unified Parkinson's Disease Rating Scale section II (UPDRS II); Beck Depression Inventory (BDI); Neuropsychiatric Inventory (NPI); safety as determined by spontaneously reported adverse events; Alzheimer's Disease Assessment Scale-cognitive subscale (ADAS-Cog); Alzheimer's Disease Cooperative Study-Clinical Global Impression of Change (ADAS-CGIC); Alzheimer's Disease Co-operative Study - Activities of Daily Living Inventory (ADCS-ADL); Verbal Fluency; Brief Test of Attention; Starkstein Apathy Scale; Unified Parkinson's Disease Rating Scale section III (UPDRS III); Clinical Dyskinesia Rating Scale (CDRS); EQ-5d; Parkinson's Disease Questionnaire for quality of life (PDQ39); Caregiver burden assessment/SF36; Direct and indirect costs,,2015,"2020; Active, not recruiting",,,
,NCT01887899,N/A,AD,15,once,"the anodal transcranial direct current stimulation over the primary motor cortex (M1) in patients with dementia of Alzheimer type (DAT); tDCS effects on central cholinergic activity in patients with DAT; tDCS effects on learning; MR elastography; genetic polymorphism, ApoE4",,2013,2016; Unknown status,,,
,NCT01888029,N/A,MCI,15,once,"the anodal transcranial direct current stimulation over the primary motor cortex (M1) in patients with mild cognitive impairment (MCI); Comparison of tDCS-induced changes on central cholinergic activity; Comparison of tDCS-induced changes in learning success; MR elastography; genetic polymorphism, ApoE4",,2013,2016; Unknown status,,,
Non-invasive Brain Stimulation,NCT04425148,N/A,FTDLD,70,up to 3 m,Attrition (withdrawal) rate; Change in Gamma activity; Change in Cognition; Change in Brain Metabolism measured via FDG-PET,,2020,2021; Recruiting,,,
,NCT03880240,P1/P2,"MCI, AD",55,up to 16 w,PET amyloid burden; PET tau deposition; Incidence of Treatment-Emergent Adverse Events; Change in Gamma activity; Alzheimer's Disease Assessment Scale -Cog Score; Follow-up Amyloid PET burden; Follow-up Cognitive Evaluation,,2019,2020; Recruiting,,,
,NCT03412604,N/A,AD,10,up to 12 w,Incidence of Treatment-Emergent Adverse Events; PET amyloid burden; PET tau deposition; PET Microglia activation; Alzheimer's Disease Assessment Scale -Cog Score,,2018,2018; Recruiting,,,
MRI Scan,NCT04818060,,HD,258,"baseline, 1 year, 2 years",Unified Huntington's Disease Rating Scale (UHDRS) Diagnostic Confidence Level; Unified Huntington's Disease Rating Scale (UHDRS) Total Motor Score; Unified Huntington's Disease Rating Scale (UHDRS) Total Functional Capacity; CANTAB composite score; Cognitive Assessment Battery (CAB) Composite Score; Tablet Cognitive Assessment Total (TabCat) Score; Problem Behavior Assessment - short form (PBA) Score; Exploratory Measure: Cerebral Spinal Fluid Biomarker (BM) Assessment; Imaging BM measured via MRI,,2021,2021; Not yet recruiting,,,no
,NCT01459016,P1,AD,56,"Baseline, 6 Mos; Baseline, 12 Mos",Change From Baseline in the Clinical Dementia Rating (CDR) Total Score; Change From Baseline in the Alzheimer's Disease Assessment Scale Extended Cognitive Subscale (ADAS-Cog14) Total Score; Change From Baseline in the Mini Mental State Examination (MMSE) Total Score; Number of Participants With Microhemorrhage on MRI Scan at a Field Strength of 3T; Number of Participants With Vasogenic Edema on MRI Scan at a Field Strength of 3 Tesla (3T); Baseline Brain Amyloid Load Using Positron Emission Tomography (PET) and Florbetapir; Change From Baseline in Diffusion Tensor Imaging (DTI) Using Mean Diffusivity (MD); Change From Baseline in Diffusion Tensor Imaging (DTI) Using Fractional Anisotropy (FA); Change From Baseline in Resting State Functional Magnetic Resonance Imaging (rsfMRI); Change From Baseline in Volumetric Magnetic Resonance Imaging (vMRI) - Hippocampus Volume Average Percent (%) Change (Chg); Change From Baseline in Volumetric Magnetic Resonance Imaging (vMRI) - Brain Boundary Shift Integral (BBSI) and Ventricular Boundary Shift Integral (VBSI),,2011,2018; Completed,,,no
MRgFUS,NCT04728295,N/A,PD,50,Up to Month 12 post Bilateral Treatment,MDS-Unified Parkinson's Disease Rating Scale (UPDRS) Part III OFF Medication; MDS-Unified Parkinson's Disease Rating Scale (UPDRS) Part II; MDS-Unified Parkinson's Disease Rating Scale (UPDRS) Part IV,,2021,2021; Not yet recruiting,,,
,NCT03454425,N/A,PD,40,Baseline to Month 12 post treatment,MDS-UPDRS II; Efficacy - MDS-UPDRS; Safety - Adverse Events; MDS-UPDRS III ON-medication; MDS-UPDRS III OFF-medication; MDS-UPDRS III- Contralateral ON-medication; MDS-UPDRS III; MDS-UPDRS III Blinded assessor; MDS-UPDRS IV; PDG39; GIC; Levodopa; MDS-UPDRS,,2018,"2021; Active, not recruiting",,,
,NCT03319485,N/A,PD,92,At the time of ExAblate Pallidotomy procedure,Responder Analysis; Severity of Device and Procedure related complications,,2017,"2020; Active, not recruiting",,,
,NCT01772693,N/A,PD,27,Month 3,Number of Adverse Events; Functional Disabilities - Clinical Rating Scale for Tremor Part C - Functional Disabilities; Tremor Motor Scores - Clinical Rating Scale for Tremor - Treated Side Upper Extremity Parts A & B.; Tremor Motor Score Percent Change From Baseline.,,2013,2020; Completed,,,
,NCT03964272,N/A,PD,10,Treatment through 6 month,"Safety: Adverse Events; Primary Efficacy: Movement Disorder Society-Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Off Medication Status; Movement Disorder Society-Unified Parkinson's Disease Rating Scale (MDS-UPDRS) On Medication Status; MDS-UPDRS; MDS-UPDRS (Part I, II and IV); Quality of life assessment",,2019,2020; Recruiting,,,
,NCT02246374,N/A,PD,7,Baseline to 12-m post treatment,Incidence and severity of adverse events; Mean change in MDS-UPDRS Part III scores; Long Term Adverse Events Profile; Mean change in MDS-UPDRS total score; Mean change in MDS-UPDRS Part IV scores,,2014,"2020; Active, not recruiting",,,
,NCT02252380,N/A,"HD, PD",10,At the time of ExAblate procedure,Severity of Device and Procedure Related Complications,,2014,"2020; Active, not recruiting",,,
,NCT02263885,N/A,PD,20,At the time of Exablate transcranial procedure,Severity of Device and Procedure related complications,,2014,"2020; Active, not recruiting",,,
DBS,NCT02022735,N/A,PD,22,Up to 1 hour,TUG Test; UPDRS Scores; Stride Length; Walking Speed,,2013,2021; Terminated,,,
,NCT04811807,,PD,50,12 m,"change in severity of ICBs and development of new ICBs; Descriptive analysis of recurrence of ICBs in those with history of ICBs using scores on QUIP-RS/PICs; Descriptive analysis of de novo cases of Impulsive control disorders ICD/ICBs; predictive factors for de novo, recurrence and change in severity of ICD/ICBs; change in ICB relate to quality of life in patients and carers; change in ICD relates to changes in mood; change in ICD relates to change in personality traits",,2021,2021; Not yet recruiting,,,
,NCT04255719,N/A,PD,9,6 m,Difference in Timed Up-and-Go (TUG) task scores between treatment conditions in the on- and off- medication states; Differences in total Uniﬁed Parkinson's Disease Rating Scale Part Ⅲ (UPDRS Ⅲ) scores between two treatment conditions in the on- and off- medication states; Differences in Burg Balance Scale (BBS) scores between two treatment conditions in the on- and off- medication states.; Differences in postural angles between two treatment conditions in the on- and off- medication states.; Differences in Water Swallow Test (WST) scores between treatment conditions in the on- and off- medication states.; Differences in Swallowing Disturbance Questionnaire (SDQ) scores between treatment conditions in the on- and off- medication states.; Differences in voice parameters between treatment conditions in the on- and off- medication states.; Differences in Voice Handicap Index (VHI) between treatment conditions in the on- and off- medication states.,,2020,2021; Completed,,,
,NCT03630302,,PD,10,during DBS implant procedure and programming,Concordance between LFP derived predictions and clinically optimized stimulation parameters; Characteristic of the LFP signals correlating to presence of side effects,,2018,2020; Completed,,,
,NCT00658125,N/A,AD,6,one year,memory performance on neuropsychological tests,,2008,2019; Completed,,,
,NCT04058457,,PD,60,Pre-operative scan with post-operative analysis through study completion at an average of 1 year,Change in respiratory muscle strength; Change in breath-hold; Change in surface electromyography of respiratory muscles; Change in hypercapnic ventilatory response; Change in breathlessness; Change in pulmonary function; Change in airways resistance; Change in daily activity; MRI structural connectivity,,2019,2019; Not yet recruiting,,,
,NCT02480803,P4,PD,66,"12, 24 and 36 m","Cost effectiveness in costs per unit on PDQ-39; Cost-utility in costs per QALY; Change from Baseline in quality of life: changes on PDQ-39 at 12 months; Change from Baseline in quality of life: changes on EQ-5D; Change from Baseline in motor symptoms: score changes in off and on state on MDS-UPDRS; Change from Baseline in motor symptoms: changes in off-state, on-state without dyskinesias, on-state without troublesome dyskinesias and on-state with troublesome dyskinesias; Change from Baseline in motor symptoms: changes on clinical Dyskinesia Rating Scale; Change from Baseline in non-motor symptoms: changes on Non Motor Symptom Checklist; Change from Baseline in non-motor symptoms: changes on Rotterdam Symptom Checklist; Change from Baseline in non-motor symptoms: changes on SCOPA-AUT; Change from Baseline in non-motor symptoms: changes on MDS-UPDRS part 2; Number of participants with adverse effects and description of adverse effects at 12 months; Number of participants with complications and description of complications at 12 months; Number of participants with treatment failure at 12 months; Number of participants who stopped treatment at 12 months; Number of participants with treatment cross-over at 12 months; Change from Baseline in PD-medication (levodopa-equivalent dose) at 12 months; Change from Baseline in disability: change of Hoehn and Yahr stage; Change from Baseline in functional health status: changes on AMC Linear Disability Score); Change from Baseline in patient satisfaction (questionnaire); Change from Baseline in patients attitude to treatment on PRO-Likert Scale; Change from Baseline in cognition: changes on Mattis Dementia Rating Score; Change from Baseline in cognition: changes on PD-CRS; Change from Baseline in language: changes on Boston Naming Test; Change from Baseline in language: changes on letter fluency test; Change from Baseline in intelligence: changes on WAIS IV; Change from Baseline in intelligence: changes on Dutch Reading test for Adults; Change from Baseline in memory: changes on 15 word test; Change from Baseline in memory: changes on Rivermead Behavioral Memory Test; Change from Baseline in attention and executive functions: changes on trail making test; Change from Baseline in attention and executive functions: changes on Stroop test; Change from Baseline in complex visual perception: changes in judgement of line orientation; Change from Baseline in constructive skills: changes in ability to draw a Clock drawing; Change from Baseline in psychiatric disease: changes in psychiatric examination; Change from Baseline in psychiatric disease: changes on MINI; Change from Baseline in psychiatric disease: changes on Columbia Suicide Severity Rating Scale; Change from Baseline in psychiatric disease: changes on Hamilton Anxiety Scale; Change from Baseline in psychiatric disease: changes on Hamilton Depression Scale; Medical and non-medical care costs; Change from Baseline in caregiver burden; Change from Baseline in Compulsive Disorders (Parkinson's Disease Impulsive-Compulsive Disorders Questionnaire (QUIP); Change from Baseline in apathy (Starkstein's Apathy Scale)",,2015,2019; Recruiting,,,
,NCT02548897,N/A,PD,5,up to m 24 post DBS surgery,Number of freezing of gait events,,2015,2017; Completed,,,
,NCT02401308,N/A,PD,1,6 m post-operatively,Functional outcomes; Neurocognitive Function; Quality of life,,2015,2017; Terminated,,,
,NCT00053625,P3,PD,123,Baseline to 6 m,Mean change in total UPDRS score (baseline to six-months post DBS surgery); Mean change in UPDRS subscales and individual scores,,2003,2015; Completed,,,
,NCT02154724,N/A,PD,20,up to 1 year,Percentage of improvement in unified parkindon's disease rating scale (UPDRS score) of aDSB compare to cDBS; Number of participants with adverse events,,2014,2014; Unknown status,,,
,NCT01274832,,PD,40,after 3 and12 m of stimulation,percentage of improvement in motor aspects; Neuropsychological aspects; Psychiatrical aspects; Quality of Life; Medication intake,,2011,2011; Unknown status,,,
MRI,NCT02752750,,AD,50,2 years,Quantitative magnetic susceptibility (QSM) in the human brain,,2016,2021; Enrolling by invitation,,,no
,NCT02789020,P2,PD,96,Changes from baseline to 1 year,"Change in free-water accumulation in the substantia nigra; Change in blood oxygen level-dependent(BOLD) signal in the posterior putamen, M1, and supplementary motor area(SMA).; Changes in PD motor symptoms and bradykinesia; Changes between the groups on MRI for free-water in the substantia nigra; Changes between the groups on fMRI",,2016,"2021; Active, not recruiting",,,
,NCT04690998,N/A,ALS,100,Change from Baseline at 24 m,Clinical examination; VAS; Fatigue Severity Scale (FSS); Muscle strength; Timed test; Pulmonary function test; Quality of Life of patients; Blood samples; MRI,,2020,2020; Not yet recruiting,,,
,NCT02405182,,ALS,145,30 m,Change in neuronal and white matter integrity measures.; Correlation of neuronal and white matter integrity measures with clinical indices.,,2015,2020; Completed,,,
,NCT04653688,N/A,PD,150,at baseline at 48 w,"PKG changes at 48 weeks versus baseline; Changes of 95th percentile of home gait velocity (assessed during 10 days with FeetMe® Insoles) at 48 weeks versus baseline in Parkinsonian syndrome patient subgroups and in a control group.; Changes of 95th percentile of home gait velocity (assessed during 10 days with FeetMe® Insoles) at 12 weeks (MSA subgroup only) and 24 weeks versus baseline in Parkinsonian syndrome patient subgroups; Changes of 95th percentile of home gait cadence, stride length, stride, stance and swing durations (assessed during 10 days with FeetMe® Insoles) at 12 weeks (MSA subgroup only), 24 and 48 weeks versus baseline; Changes of UMSARS I-II versus baseline in MSA subgroup; Changes of MSA-QoL versus baseline in MSA subgroup; Changes of OHQ versus baseline in MSA subgroup; Changes of OHSA versus baseline in MSA subgroup; Changes of BBS versus baseline in MSA subgroup; Changes of Modified SE-ADL versus baseline in MSA subgroup; Changes of PDSS-2 versus baseline in MSA subgroup; Changes of COMPASS31 versus baseline in MSA subgroup; Changes of MOCA versus baseline in MSA subgroup; MRI changes at 24 and 48 weeks versus baseline.; DAT-scan changes at 48 weeks versus baseline.",,2020,2020; Not yet recruiting,,,
,NCT04212637,N/A,PD,80,1 hour,MRI images; Eye latency; eye amplitude,,2019,2020; Not yet recruiting,,,
,NCT03860857,P3,AD,200,Years 4 and 5 of the grant,Change in perforant path integrity; Change in tau spatial distribution - advancing Braak stage; Change in Clinical Dementia Rating - Sum of Box Score; Change in lure discrimination index - objects; Change in lure discrimination index - spatial; Change in lure discrimination index - temporal; Change in entorhinal cortical thickness,,2019,2020; Recruiting,,,
,NCT02134561,N/A,HD,24,"3 m before diagnostic (baseline) ; 2 years after diagnostic,",Change from baseline total score of the psychological Unified Huntington's Disease Rating Scale at 2 years,,2014,2020; Completed,,,
,NCT02550275,N/A,HD,44,3 m after inclusion,the achievement of social cognition process in Huntington's disease using the total score of the scale 15-TOM,,2015,2020; Completed,,,
,NCT02759887,N/A,AD,19,"Year 1, Year 2-3",Florbetapir PET - change between timeframes; tau PET - change between timeframes; FDG PET - change between timeframes; MRI - change between timeframes; dried blood spot collection (DBSC) analysis - change between timeframes,,2016,2019; Completed,,,
,NCT03288909,,PD,18,3 years,Quantitative signal analysis of nigrosome 1; Change in quantitative signal analysis of nigrosome 1,,2017,2019; Recruiting,,,
,NCT03272230,N/A,"FTDLD, PD",135,At day 1,NART; BREF (FAB english); HAYLING; HAD; Gray matter volume; White matter volume; Cerebral Spinal Fluid volume; Leptin; Adiponectin; Insulin; C-Peptide; FPG; HbA1C; K+; Uric acid; Creatinine; Total Protein; CRP; AST; ALT; GGT; Cholesterol; Triglycerides; EBI; ACDD; Brain lesion localization; IL-6; Pupil Diameter y; ICM_APATHY_TASKS; MMSE; DAS; STARKSTEIN (SAS); MATTIS; MADRS; Occurrence of each behavior from the ethogram; Frequency of each behavior from the ethogram; Duration of each behavior from the ethogram; Number of different behaviors; Activity classes; Body positions; Energy expenditure; MET; Steps; Acceleration intensity; Pupil Diameter x; HDL cholesterol; LDL cholesterol; Glycerol; FFAs; TSH; QUIP; BIS-11; Mini-SEA; STROOP; ECMP; QUIP-RS,,2017,2019; Recruiting,,,
,NCT02185677,,MSA,40,During 7 d after inclusion,"Behavioral Dysexecutive Syndrome Inventory scores; To compare the subscores of the BDSI between MSA-P patients and MSA-C patients.; To compare the cognitive tests exploring the cognitive dysexecutive syndrome between MSA-P patients and MSA-C patients.; To research correlations between scores UMSARS and cognitive and behavioral scores for MSA-P patients and MSA-C patients.; To compare atrophied brain areas, the anatomic and functional abnormalities of neural networks between MSA-P patients and MSA-C patients.; To research correlations between imaging abnormalities and cognitive test performance in MSA patients.; Actigraphy",,2014,2019; Completed,,,
