Table 2.  Disease-modifying drugs in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
"Accelerometer, Midodrine or atomoxetine pill",NCT04782830,N/A,"PD, MSA",29,7 d of treatment or placebo period,Total standing time measured by an accelerometer; Orthostatic symptoms; Total number of steps measured by an accelerometer; Total walking time measured by an accelerometer,,2021,2021; Recruiting,,,delete
Apomorphine,NCT04786158,,"CBD, PSP",7,6 m,Effects of subcutaneous apomorphine on pain; Effects of subcutaneous apomorphine on quality of life,,2021,2021; Completed,,,
"Dasatinib, Quercetin",NCT04785300,P1/P2,"MCI, AD",20,11 w,Safety and Tolerability of 11 week of intermittent D+Q treatment,,2021,2021; Not yet recruiting,,,
Rapamycin,NCT04629495,P2,"AD, MCI",40,Baseline to 12 m,Number of adverse events; Change in glucose level; Change in albumin; Change in carbon dioxide or bicarbonate (CO2); Change in calcium; Central nervous system penetration of rapamycin; Change in Cognition using preclinical Alzheimer's Cognitive Composite 5 (PACC5); Change in Cognition using Clinical Dementia Rating Scale sum of Boxes (CDR-SOB); Change in Functional status; Change in Neuropsychiatric symptoms; Change in Gait Speed; Change in Grip Strength; Change in CSF amyloid beta; Change in cerebral glucose metabolism; Change in Brain Volumetry,,2020,2021; Not yet recruiting,,,
CORT108297,NCT04601038,P2,"AD, MCI",52,After 2 w of treatment,"Memory as assessed by pattern separation task performance after 2 weeks of treatment with CORT108297; Memory as assessed by the Hopkins Verbal Learning Test-Revised Edition (HVLT-R) after 2 weeks of treatment with CORT108297; Executive functioning as assessed by the Trail Making Test (TMT), part B after 2 weeks of treatment with CORT108297; Executive functioning as assessed by the Digit Span Task (digit span backwards) after 2 weeks of treatment with CORT108297",,2020,2021; Recruiting,,,
SNK01,NCT04678453,P1,"AD, MCI",21,"Baseline, Week 11, End of Study (Week 22)","To determine the safety profile of SNK01 monotherapy in patients with mild cognitive impairment (MCI) or Alzheimer's Disease by monitoring for adverse events.; To determine the tolerability of SNK01 monotherapy in patients with mild cognitive impairment (MCI) or Alzheimer's Disease by monitoring for adverse events.; To determine the maximum tolerated dose (MTD)/recommended Phase 2 dose (RP2D) of SNK01 monotherapy.; To assess preliminary efficacy of SNK01 measured by Alzheimer's Disease Assessment Scale Cognitive subscale (ADAS-Cog).; To assess preliminary efficacy of SNK01 measured by Mini-Mental Status Exam (MMSE).; To assess preliminary efficacy of SNK01 measured by Clinical Dementia Rating Scale: Sum of Boxes (CDR-SB).; To assess preliminary efficacy of SNK01 measured by Alzheimer's Disease Composite Score (ADCOMS).; To assess preliminary efficacy of SNK01 measured by cerebrospinal fluid (CSF) biomarkers: amyloid beta 42, T-tau and P-tau.",,2020,2021; Recruiting,,,
Metformin,NCT04220021,P2,"FTDLD, ALS",18,Baseline through Week 52,Number of subjects with treatment-emergent adverse events [Safety and Tolerability]; Change in RAN protein levels; Change in ALS Functional Rating Scale (ALSFRS-R) score,,2020,2021; Recruiting,,,
Spironolactone,NCT04522739,P4,"MCI, AD",30,"Baseline, Month 6, Month 12",Change in Digit Span Test Score; Count of Adverse Events; Attrition rate; Change in Trail Making Test Part A Score; Change in Trail Making Test Part B Score; Change in Hopkins Verbal Learning Test-Revised (HVLT-R) Total Recall Score; Change in Hopkins Verbal Learning Test-Revised (HVLT-R) Delayed Recall Score; Change in Hopkins Verbal Learning Test-Revised (HVLT-R) Recognition Discrimination Index Score; Change in Montreal Cognitive Assessment (MoCA) Score; Change in NIH Toolbox Cognitive Battery - Cognitive Function Composite Score,,2020,2021; Not yet recruiting,,,
TSB Axo,NCT04736017,N/A,"MCI, PD",48,assessed every second or third day during the intervention period (d 1-14 and 29-41),Change in objective EDS; Difference in CSF alpha-synuclein; Change in verbal episodic memory performance; Difference in CSF tau; Subjective EDS; Sustained attention; Vigilance; Subjective nocturnal sleep quality; Fatigue; Executive Function; Attention performance; Plasma biomarkers; CSF biomarkers; Subjective sleep quality; Subjective mood; Subjective momentary sleepiness; Digital biomarkers; Sleep intensity; Depressive symptoms; Verbal episodic and visuospatial memory function; Quality of life questionnaire; Motor symptoms; Focused motor assessment,,2021,2021; Not yet recruiting,,,device
"Midodrine, Abdominal compression, sham compression",NCT04620382,Early P1,"MSA, PD",31,1 hour post-intervention tilt table test,Hemodynamic markers of cardiovascular risk,,2020,2021; Recruiting,,,
Zoledronic Acid 5Mg/Bag 100Ml Inj,NCT03924414,P4,"MSA, PD, DLB, PSP",3500,2 years,Number of Participants Hip Fractures; Mortality; Number of Participants with Clinical Fractures,,2019,2021; Recruiting,,,
Emtriva Capsule,NCT04500847,P1,"MCI, AD",35,Screening phase to month 6 after first treatment,"Number of participants with treatment emergent adverse events (TEAE's) in the treatment group will be compared to the placebo group; Change from baseline in key inflammatory biomarkers; Tumor necrosis factor-alpha (TNF-α), Interleukin 1-beta (IL-1β), and Interferon-alpha (IFN-α); Change in Mini Mental State Examination (MMSE) Total Scores; Change from baseline in Clinical Dementia Rating (CDR); Change from baseline in Alzheimer's Disease Assessment Scale-cognitive (ADAS-Cog -13); Change from baseline in Alzheimer's Disease Cooperative Study-Activities of Daily Living (ADCS-ADL); Change from baseline in Free and Cued Selective Reminding Test (FCSRT+IR) with delayed recall; Change from baseline in cerebrospinal fluid (CSF) phosphorylated tau/amyloid beta 42 (pTau/Aβ42) ratios",,2020,2021; Not yet recruiting,,,
"Altoida: neuropsychological, MRI, EEG and CSF biomarkers",NCT02843529,N/A,"MCI, AD",548,"baseline, 6, 12, 24, 36 and 42 m of follow up",Change From Baseline in Clinical Measure 7; Change From Baseline in Clinical Measure 6; Change From Baseline in Clinical Measure 5; Change From Baseline in Clinical Measure 4; Change From Baseline in Clinical Measure 3; Change From Baseline in Clinical Measure 2; Change From Baseline in Clinical Measure 1; Change of CSF Biomarkers Tau and ptau181 Values; Changes in Driving Breaking Force; MRI (Optional); Change From Baseline in Cognitive Measure; Changes in Driving Violations; Changes in Driving Direction; Changes in Driving Acceleration Velocity; Change of Brain Amyloid Deposition; Total Abeta 1-42 (Aβ42) Amyloid Deposition; Secondary Resting State Auditory Oddball ERP Endpoints; Secondary Resting State EEG Endpoints; Change in Diagnostic Area Under the Receiver Operating Characteristic Curve (ROC-AUC),,2016,2021; Completed,,,delete
[11C]MPC6827,NCT04575727,Early P1,"AD, ALS",40,Up to 48 hours from injection,Biodistribution of [11C]MPC6827; Estimation of clearance of [11C]MPC6827,,2020,2021; Recruiting,,,biomarker
TD-9855,NCT02705755,P2,"MSA, PD",34,Up to approximately 168 d for Part C,Seated systolic blood pressure; Adverse Events; Orthostatic hypotension symptoms,,2016,2021; Completed,,,
ABvac40,NCT03461276,P2,"AD, MCI",120,18 m,Incidence of treatment-emergent adverse events [safety and tolerability]; Immune response,,2018,"2021; Active, not recruiting",,,
TMS,NCT03224988,,"AD, MCI",60,3 years,Establish the structural basis for bilateral brain interactions in healthy older adults.; Establish the structural basis for bilateral brain interactions in MCI-AD older adults.; Establish the temporal dynamics of cross-hemispheric communication in normal aging using unilateral TMS; Establish the temporal dynamics of cross-hemispheric communication in normal aging using bilateral TMS; Establish the temporal dynamics of cross-hemispheric communication in normal aging using EEG; Establish the temporal dynamics of cross-hemispheric communication in MCI-AD using unilateral TMS; Establish the temporal dynamics of cross-hemispheric communication in MCI-AD using bilateral TMS; Establish the temporal dynamics of cross-hemispheric communication in MCI-AD using EEG,,2017,2021; Recruiting,,,device
"Cannabis, Medical",NCT03944447,P2,"PD, CTE, ALS",200000,Five years,Prevention of COVID-19; Treatment of COVID-19; Treatment of Symptoms; Cannabis Impact on Quality of Life; Cannabis Route and Dosing; Monitoring Adverse Events,,2019,2020; Recruiting,,,
13C6 Leucine,NCT03545126,,"FTDLD, CBD, PSP",32,6 m,CSF Tau Absolute Concentration; Tau Production Rate; Tau Fractional Turnover Rate (FTR),,2018,2020; Recruiting,,,
repetitive transcranial magnetic stimulation (rTMS),NCT04045990,N/A,"MCI, AD",40,Up to 5 w,Boston Naming Test; Western Aphasia Battery-repetition; Western Aphasia Battery-reading comprehension; Western Aphasia Battery-spelling; Controlled Oral Word Association Test; Cambridge Semantic Battery; The Northwestern Anagram Test; Picture Description Test; Changes in intrinsic functional connectivity,,2019,2020; Recruiting,,,device
Levetiracetam,NCT04643327,P2,"PD, MCI",28,Immediately after 2 w of treatment,Pattern separation performance (behavioural outcome); Hippocampal DG/CA3 subfield activity,,2020,2020; Not yet recruiting,,,
"Saline, Insulin detemir, Insulin",NCT01595646,P2,"MCI, AD",37,Change from Baseline in Glucose Tolerance at 16 Weeks,Glucose Tolerance; Cerebral Blood Flow; Plasma Biomarkers of AD; Executive Function Composite; The Alzheimer's Disease Assessment Scale-Cognitive [ADAS-Cog/Alzheimer's Disease Cooperative Study (ADCS)] - MCI Revision; Functional Ability; Cerebral Spinal Fluid (CSF) Biomarkers of AD TTau-P181/Abeta42 Ratio; Cerebral Spinal Fluid (CSF) Biomarkers of AD; Verbal Memory Composite,,2012,2020; Completed,,,
Betaquik MCT supplement,NCT04322461,N/A,"AD, PD",20,"2 m, evaluation before and after intervention",Cognition; Ketones; Endocannabinoids,,2020,2020; Not yet recruiting,,,suppl
Tacrolimus,NCT04263519,P2,"AD, MCI",12,"Baseline, 4 w, 8 w and 12 w","CSF biomarkers of target engagement, AD pathology, and neurodegeneration; Blood biomarkers of target engagement, AD pathology, and neurodegeneration.; Structural neuroimaging of Hippocampal volume.; Functional neuroimaging of default mode network connectivity.; Electroencephalograms (EEG) spectral power; Montreal Cognitive Assessment (MoCA); Neuropsychiatric Inventory Questionnaire (NPIQ); Functional Activities Questionnaire (FAQ); Repeated Battery for the Assessment of Neuropsychological Status",,2020,2020; Not yet recruiting,,,
JNJ-40346527,NCT04121208,P1,"AD, MCI",54,Baseline and visit 3 (Days 14). Serious Adverse Events (Day 14 plus 30 d),Placebo-controlled change from baseline in cerebrospinal fluid (CSF) protein marker concentration levels.; Placebo-controlled change from baseline in CSF and blood biomarker concentration levels; Placebo-controlled change from baseline in amount of CSF extracellular vesicles and cell population.; Measurement of plasma/CSF JNJ-40346527 levels; Measurement of cerebrospinal fluid (CSF) protein marker concentration levels following different JNJ-40346527 doses; Occurrence of adverse events during the study,,2019,2020; Not yet recruiting,,,
Progenitor Stem Cell Culture,NCT00927108,P2,"PD, AD",0,,,,2009,2020; Withdrawn,,,stem
"TMS, Sham-TMS",NCT03243214,N/A,"MCI, PD",41,Blood draw for DNA analysis: Baseline,TMS stimulation applied to the left DLPFC has a quantifiable effect on cognition; Change in structural grey and white matter in the brain at baseline compared to after TMS stimulation; Change in executive functioning measured as BOLD fMRI sequence; Change in levels of biomarkers of interest (alpha-synuclein and BDNF) in serum after TMS stimulation compared to baseline.; Genotyping,,2017,2020; Completed,,,device
"ACI-35.030, JACI-35.054",NCT04445831,P1/P2,"MCI, AD",32,from baseline up to week 74,"Number of participants with Adverse Events (AEs) assessed by intensity (mild, moderate or severe) and causal relationship (unrelated, unlikely, possibly or probably related); Change from baseline in anti-phosphorylated Tau IgG titers in blood; Mean change from baseline in systolic and diastolic blood pressure (mmHg); Mean change from baseline in heart rate (bpm); Mean change from baseline in body temperature (degree Celsius); Number of participants reporting suicidal ideation or behavior using Columbia-Suicide Severity Rating Scale (C-SSRS); Number of participants with abnormal MRI results; Change from baseline in anti-Tau IgG titers in blood; Change from baseline in anti-phosphorylated Tau IgM titers in blood; Change from baseline in anti-Tau IgM titers in blood; Change from baseline of functional performance using Clinical Dementia Rating scale Sum of Boxes (CDR-SB); Change from baseline of cognitive performance using Repeatable Battery for the Assessment of Neuropsychological Status (RBANS); Change from baseline of behavior using Neuropsychiatric Inventory Scale (NPI)",,2020,2020; Recruiting,,,
"DaTscan, F18-AV-45, FDG-PET, APOE genotype, Polysomnogram, Clinical Assessment",NCT03019757,,"AD, PD",76,Post mortem,"Berg Balance Scale (BBS); Mini Mental State Examination (MMSE-1); Wechsler Adult Intelligence Scale 4th edition (WAIS-4) Vocabulary; Wechsler Adult Intelligence Scale 4th edition (WAIS-4) Digit Span; Wechsler Adult Intelligence Scale 4th edition (WAIS-4) Block Design; Wechsler Adult Intelligence Scale 4th edition (WAIS-4) Matrix Reasoning; Wechsler Adult Intelligence Scale 4th edition (WAIS-4) Reliable Digits (embedded measure); Wechsler Memory Scale 3rd ed. (WAIS-3) Spatial Span; Wechsler Memory Scale 3rd ed. (WAIS-3) Logical Memory 1 & 2; Trail Making Test A; Trail Making Test B; Boston Naming Test; Controlled Oral Word Association Test (COWAT)- Animal Naming; Judgment of Line Orientation Standardized Test; Brief Visuospatial Memory Test (BVMT); California Verbal Learning Test (CVLT-2); Wisconsin Card Sorting Task; California Verbal Learning Test (CVLT-2) Forced Choice (embedded measure); Self Administered Gerocognitive Examination- A brief cognitive assessment instrument for mild cognitive impairment and early dementia; Apolipoprotein E (APOE) Genotyping of a whole blood sample; Clinical Dementia Rating Scale (CDR); The Activities of Daily Living (ADL) Standardized Scale; Mayo Fluctuations Scale; Neuropsychiatric Inventory (NPI); Beck Depression Inventory 2nd ed.; The Modified Somatic Perception Questionnaire; The Epworth Sleepiness Scale; Mayo Sleep Questionnaire-Informant; Functional Outcomes of Sleep Questionnaire-10; Part III and IV of the Movement Disorder Society-sponsored revision of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS); Florbetapir (F18-AV-45) positron emission tomography (amyloid PET); Single-photon emission computed tomography (SPECT) with the radioligand [123I]FP-CIT; Positron emission tomography with 2-(18F) fluoro-2-deoxy-d-glucose (FDG-PET); Brain MRI; Polysomnogram; Lumbar Puncture to obtain cerebrospinal fluid (CSF) that will be stored for future potential evaluation of biomarkers; Post-mortem brain donation to The Ohio State University Neurodegenerative Disease Brain Tissue Repository, for clinicopathological correlations",,2017,2020; Recruiting,,,biomarker
"Pittsburgh Compound B (C-11 PiB), F-18 FDG, Tau (18-F-AV-1451)",NCT00950430,P4,"DLB, AD, FTDLD",2500,up to 20 years,"To understand the predictive ability of PiB PET imaging for neurodegenerative diseases.; Using PiB-PET, to ascertain cross-sectionally the magnitude and the spatial distribution of amyloid deposition in the brain in subjects who are clinically classified as CN, MCI, and demented.; To identify the relationship between amyloid burden and the risk of progression from CN at baseline to MCI.; To identify the relationship between amyloid burden and the risk of progression from MCI at baseline to dementia.; To measure longitudinal change in amyloid burden and cognition and characterize the correlation between change on serial PiB-PET measures vs. FDG measures and concurrent change on continuous measures of cognitive performance.",,2009,2020; Enrolling by invitation,,,biomarker
"FDG-PET, ASL-MRI, Lumbar Puncture",NCT01727622,,"MCI, AD",102,2 years,Composite region of interest (ROI) measure of cerebral blood flow (CBF) measured by ASL MRI versus composite ROI measure of cerebral metabolism measured by FDG PET; Prediction of longitudinal change in hippocampal volume; Prediction of longitudinal change in clinical status (i.e. progression to Alzheimer's Disease),,2012,2020; Completed,,,biomarker
"Droxidopa, Midodrine",NCT02897063,P1,"PD, MSA",34,Up to 10 min of head up tilt,Stroke volume,,2016,2020; Recruiting,,,
"EEG, ApoE",NCT03654911,,"MCI, AD",150,2 years,Biomarkers: EEG; Biomarker: ApoE4; Biomarker: Accuracy of digital classifier,,2018,2020; Completed,,,biomarker
Donepezil,NCT01951118,P4,"AD, MCI",121,"Week 0, Week 8, Week 26, Week 52",Measurement of Everyday Cognition (Ecog); Treatment Emergent Symptom Scale (TESS); Wechsler Memory Scale (WMS)-R Digit Span; Boston Naming Test (BNT); Controlled Word Association (CFL); Wechsler Adult Intelligence Scale (WAIS) -III Digit Symbol Subtest; Trail Making Test (Parts A and B); Mini-Mental State Examination - MMSE; Pfeffer Functional Activities Questionnaire (FAQ); Clinician's Interview Based Impression (CIBIC-plus); Alzheimer's Disease Assessment Scale - Cognitive (ADAS-Cog); Change Over Time in Selective Reminding Test (SRT) Scores,,2013,2020; Completed,,,
"N-831(Traneurocin) 10 mg QD, NA-831 (Traneurocin) 20 mg QD, NA-831 (Traneurocin) 40 mg QD",NCT03538522,P2,"DLB, AD, MCI",126,Week 24,Change from baseline in Clinical Dementia Rating Scale- Sum of Boxes (CDR-SB) score at Week 24; 1. Mean difference between the last (Week 24) and first (Week 2) postdose using Clinical Dementia Rating Scale- Sum of Boxes (CDR-SB) assessment; Assess the change from baseline in ADCS-ADL MCI at Week 24,,2018,2020; Completed,,,
"LY2599666, Solanezumab",NCT02614131,P1,"MCI, AD",50,"Day 85: Pre-dose, 2, 4, 8, 12, 24, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68, 72, 96, 120, 168, 216, 264, 336, 504, 672 hours post-dose (Part B)",Plasma Amyloid Beta (Aβ1-40 and Aβ1-42) Concentration Part B; Plasma Amyloid Beta1-40 (Aβ1-40 ) Concentration Part A; Pharmacokinetics (PK): Area Under the Concentration Versus Time Curve From Zero to 168 Hours (AUC 0-168) of LY2599666 Part B; Pharmacokinetics (PK): Area Under the Concentration Versus Time Curve From Zero to Infinity (AUC 0-∞) of LY2599666 Part A; Pharmacokinetics (PK): Maximum Concentration (Cmax) of LY2599666 Part B; Pharmacokinetics (PK): Maximum Concentration (Cmax) of LY2599666 Part A; Number of Participants With One or More Serious Adverse Event (SAE) Considered by the Investigator to be Related to Study Drug Administration,,2015,2020; Terminated,,,
Nelotanserin,NCT02708186,P2,"PD, DLB",34,28 d,Change in the Frequency of REM Sleep Behavior Disorders (RBD) From Baseline to the End of the Treatment Period (28 Days) Based on a Clinical Evaluator.,,2016,2020; Completed,,,
Insulin (Humulin® R U-100),NCT01767909,P2/P3,"AD, MCI",240,Baseline and Month 12,Change in CSF Biomarkers of AD; Change in Hippocampal and Entorhinal Atrophy as Measured by Magnetic Resonance Imaging (MRI); Change in Cognitive Deficit as Measured by Clinical Dementia Rating - Sum of Boxes (CDR-SB); Change in Daily Functioning as Measured by the ADCS-MCI Activities of Daily Living (ADCS-ADL-MCI); Change in Memory Composite as Measured by Story Recall (Immediate Paragraph Recall and Delayed Paragraph Recall) and Free and Cued Selective Reminding Test (FCSRT); Change in Global Measure of Cognition as Measured by the Alzheimer's Disease Assessment Scale-Cognitive 12 (ADAS-Cog12),,2013,2020; Completed,,,
"Placebo, Insulin aspart",NCT02462161,P1,"MCI, AD",24,Baseline and week 12,"Change in cognition; Cerebral spinal fluid (CSF) and blood amyloid-beta, tau protein, and inflammatory markers; MRI measure of cortical thickness in Alzheimer's disease (AD) -vulnerable regions",,2015,2020; Completed,,,
"Methylene Blue, FD&C Blue # 2, Phenazopyridine hydrochloride",NCT02380573,P2,"AD, MCI",117,"baseline, change from baseline at 2 w ± 3 d, change from baseline at 12 w ± 3 d",Working memory task; Working memory task response; Episodic memory task; Episodic memory task response; Sustained attention task; Sustained attention task reaction time; Neuropsychological battery composite score; Cerebral blood flow measures; Functional Connectivity measures; CO2 challenge,,2015,2020; Suspended,,,
"Anti-Parkinson medication, Deep Brain Stimulation",NCT02994719,,"HD, CBD, MSA, PSP, PD",120,"through study completion, an average of 1 year",Gait speed; Swing duration; Stance duration; Cadence; Stride length,,2016,"2020; Active, not recruiting",,,delete
"Memantine, Donepezil, Measurement of serum level of anti-dementia drug",NCT04117178,P4,"PD, DLB, AD",110,For participants in the standard of care arm APOe4 allele status will be determined 1 year after enrollment. APOe4 allele status will be determined at the 6 month follow-up for participants in the intervention arm.,Change of Mini Mental State Examination (MMSE) test result; Change of Adenbrooke's Cognitive Exam (ACE) test result; Change of Neuropsychiatric Inventory Questionnaire (NPI-Q) score result; Change of Disability Assessment for Dementia (DAD) score result; Change of Clinical Global Impression (CGI) score result; Serum level of donepezil; Serum level of memantine; Level of compliance to treatment; Change in Geriatric Depression Scale (GDS) symptoms score; Change in quantitative electroencephalogram (qEEG); Cyp2D6 gene test; genetic test for BcHE K variant; genetic test for APOe4 allele status.,,2019,2020; Recruiting,,,
RVT-101 35 mg,NCT02910102,P2,"DLB, AD, PD",38,"Baseline, 2 w",Change in Gait Measurements (cm/Sec) Under Dual Task Condition From Baseline to the End of Each Double-blind Treatment Period Based on Computerized Gait Assessment Tools.; Change From Baseline in Gait Speed (cm/Sec) Measurements From Baseline to the End of Each Double-blind Treatment Period Based on Computerized Gait Assessment Tools.,,2016,2020; Completed,,,
"Placebo, TPI 287 2 mg/m2, TPI-287 20 mg/m2, TPI-287 6.3 mg/m2",NCT02133846,P1,"CBD, PSP",44,Screening and 2 Weeks after last infusion,CSF biomarkers; Maximum tolerated dose of TPI-287 in patients with primary 4RT; CBS or PSP.; TPI-287 levels in blood plasma and cerebrospinal fluid; Brain MRI scan; Degree of disability; Cognition; Behavior,,2014,2020; Completed,,,
Insulin glulisine,NCT02503501,P2,"AD, MCI",49,Baseline and 6 m,Change in Functional Performance as Measured by the Functional Activities Questionnaire (FAQ); Change in Functional Performance as Measured by the Clinical Dementia Rating (CDR) Scale; Change in Cognition as Measured by the Alzheimer's Disease Assessment Scale - Cognitive 13 (ADAS-Cog 13),,2015,2020; Terminated,,,
