Table 9.  All Intervention Matches in independent trials involving more than 1 neurodegenerative disorder.,,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,,
,NCT03775447,,PD,38,1 year,degree of LRRK2 enrichment achieved. The measure will vary depending on the method of LRRK2 enrichment used; Power analysis to guide future research; Time from IRB submission to approval by central IRB; Time from central IRB approval to site approval; Time from site selection to contract full execution; Completion of Recruitment; Proportion of samples conforming to collection; Retention,,2018,2020; Completed,,,,
Nuedexta,NCT03854019,P3,HD,22,Week 13.,"Behavioral symptoms, as assessed by the Hospital Anxiety and Depression Scale (HADS).; Irritability as assessed by The Irritability Scale.; Irritability as assessed by The Irritability Scale; Cognitive symptoms, as assessed by the Unified Huntington's Disease Rating Scale (UHDRS) - cognitive domain.; Behavioral symptoms, as assessed by the Neuropsychiatric Inventory-Questionnaire (NPI-Q) - severity score.; Behavioral symptoms, as assessed by the Neuropsychiatric Inventory-Questionnaire (NPI-Q) - caregiver distress.; Behavioral symptoms, as assessed by the Problem Behaviors Assessment - short version (PBA-s).; Motor symptoms, as assessed by the total motor score (TMS) from the UHDRS.; Motor symptoms, as assessed by the total maximal chorea (TMC).; Functional independence, as assessed by the UHDRS Total Functional Capacity Scale (TFC).; Behavioral suicidal events, as assessed by the Columbia-Suicide Severity Rating Scale (C-SSRS) - Suicidal ideation.; Behavioral suicidal events, as assessed by the Columbia-Suicide Severity Rating Scale (C-SSRS) - Suicidal ideation; Behavioral suicidal events, as assessed by the Columbia-Suicide Severity Rating Scale (C-SSRS) - Suicidal Ideation.; Behavioral suicidal events, as assessed by the Columbia-Suicide Severity Rating Scale (C-SSRS) - Suicidal Behavior.; Behavioral suicidal events, as assessed by the Columbia-Suicide Severity Rating Scale (C-SSRS).; Cognitive symptoms, as assessed by the The Montreal Cognitive Assessment (MoCA).; Patient progress and treatment response over time, as assessed by the Clinical Global Impressions Scale (CGI).",,2019,2021; Recruiting,,,drg,
,NCT03883581,P1/P2,ALS,40,Baseline; Day 30,Change in Dynamic Imaging Grade of Swallowing Toxicity; Change in Airway Physiologic Defense Capacity; Change in Speech Intelligibility; Change in Patient-reported outcome: Center for Neurologic Study-Bulbar Function Scale (CNS-BFS),,2019,2021; Recruiting,,,,
,NCT01806857,P2,ALS,90,Average between Baseline Visit to Visit 3,Ashworth Spasticity Scale Score - Left Leg; Ashworth Spasticity Scale Score - Right Leg; Ashworth Spasticity Scale Score - Left Arm; Average Solids Swallowing Test; Visual Analog Scale - Salivation (Sialorrhea) Score; Visual Analog Scale - Swallowing Score; Average Water Swallowing Test (WST); Timed Reading of Test Paragraph Result; Ashworth Spasticity Scale Score - Right Arm; Visual Analog Scale - Speech Scores; ALS Functional Rating Scale- Revised (ALSFRS-R) Total Score; Center for Neurologic Study - Lability Scale (CNS-LS) Total Score; Bulbar Function Scale (CNS-BFS) Swallowing Score; Bulbar Function Scale (CNS-BFS) Speech Score; Bulbar Function Scale (CNS-BFS) Sialorrhea Score; Bulbar Function Scale (CNS-BFS) Total Score,,2013,2017; Completed,,,,
Music,NCT04840173,N/A,AD,60,Diaries will be collected at week 6,Change from Baseline in the Mean of 12-item Zarit Caregiver Burden Interview at Week 6. The minimum score is 0 and maximum score is 88.; Change from Baseline Quality of Life on the 19-item Cornell-Brown Scale for Quality of Life at Week 6. .; Change from baseline symptoms on the 12-item Neuropsychiatric Inventory Questionnaire at Week 6.; Qualitative description of usefulness of music intervention,,2021,2021; Recruiting,,,behv,
,NCT03121950,N/A,DLB,21,12 w,Change in Score on the Caregiver Burden Scale; Change in Score on the Montreal Cognitive Assessment; Timed up and go Cognitive,,2017,2020; Completed,,,,
,NCT02207387,N/A,PD,60,baseline and one month and four m,Changes in mood; Changes in impact/quality of life; Change from baseline in cognition of PD; Change from baseline in brain imaging signals (fMRI); Change from baseline in motor symptoms of PD,,2014,2015; Unknown status,,,,
Transcranial Direct Current Stimulation (tDCS),NCT03846492,N/A,AD,90,Approximately 2 and 4 w after baseline,"Long Interval Cortical Inhibition (LICI), a TMS paradigm, will be used to assess the extent of cortical inhibition; Assess brain structure using Magnetic Resonance Imaging (MRI); Assess resting state connectivity using Functional Magnetic Resonance Imaging (fMRI); Assess GABA and glutamate levels using Magnetic Resonance Spectroscopy (MRS); Short Interval Cortical Inhibition (SICI), another TMS paradigm, will be used to assess the extent of cortical inhibition; The rate of successful completion of the 2 week tDCS treatment course; Effects of a 2 week course of tDCS on cortical/inhibition balance; Change in clinical symptoms of agitation as assessed by the Clinical Global Impression of Change (CGIC); Change in clinical symptoms of agitation as assessed by the Neuropsychiatric Inventory (NPI) agitation/aggression subscale score; Change in clinical symptoms of agitation as assessed by the Cohen Mansfield Agitation Inventory scores (CMAI)",,2019,2021; Recruiting,,,device,
,NCT02266004,N/A,PD,9,"baseline, 3 w",Change in the Freezing of Gait Questionnaire (FOG-Q); Change in the Auditory Consonant Trigrams Test (ACT); Change in the Montreal Cognitive Assessment (MOCA); Change in the Trail Making Test Time; Change in Backward Digit Span; Change in Glutamate/Gamma Aminobutyric Acid(GABA) Ratio; Change in Motor Threshold; Change in Timed Up-and-Go (TUG) Time; Change in Postural Sway; Change in Stride Length; Change in Motor Scores as Measured by Unified Parkinson's Disease Rating Scale (UPDRS); Change in Walking Speed,,2014,2020; Terminated,,,,
,NCT03974087,N/A,MCI,40,Change from baseline immediately after completion of stimulation protocol and one month after completion of stimulation protocol,Visual-attention task accuracy; Psychological assessment - z-score computed from multiple psychological domains; Magnetic resonance imaging; Memory task in virtual reality performance - the accuracy; Memory task in virtual reality performance - The time to accomplish different difficulty levels; Memory task in virtual reality performance - The trajectories needed for completion of different difficulty levels; Visual working memory task accuracy,,2019,2020; Recruiting,,,,
Lumbar punction,NCT04844060,,"MSA, PD, FTDLD, DLB, AD",10000,1 year,CSF collection; Setting up in new study/collaboration; To compare the levels of CSF Alzheimer's biomarkers between these different populations and determine their ability to discriminate between AD and other neurodegenerative cognitive pathologies,,2021,2021; Recruiting,,,biom,
,NCT03977025,,AD,30,1 day,Montreal Cognitive Assessment,,2019,2019; Recruiting,,,,
ATH-1017,NCT04491006,P2,AD,75,"Weeks 2, 6, 12, 20, and 26",Event-Related Potential; Cognition,,2020,2021; Recruiting,,,dug,
,NCT04488419,P2,AD,300,Week 26,Overall treatment effect of ATH-1017 as reflected by the Global Statistical Test; Cognition; Clinical Global Impression of Change; Activities of Daily Living,,2020,2021; Recruiting,,,,
,NCT04831281,P2,PD,75,Week 12 and 26,Overall treatment effect of ATH-1017 as reflected by the Global Statistical Test; Event-Related Potential; Cognition; Clinical Global Impression of Change; Activities of Daily Living,,2021,2021; Not yet recruiting,,,,
Pridopidine,NCT04297683,P2/P3,ALS,640,24 Weeks,Disease Progression; Respiratory Function; Muscle Strength; Survival,,2020,2021; Recruiting,,,drug,
,NCT04556656,P3,HD,480,"Baseline, 65 w",Change from baseline in the Unified Huntington Disease Rating Scale-Total functional capacity (UHDRS-TFC) score,,2020,2021; Recruiting,,,,
,NCT04615923,P2/P3,ALS,160,24 Weeks,Disease Progression; Bulbar Function in Participants with Bulbar Dysfunction; Bulbar Function in all Randomized Participants; Speech; Respiratory Function; Bulbar Function in Participants with Rapid pre-baseline Progression; Time to Bulbar Dysfunction; Muscle Strength; Survival,,2020,2020; Enrolling by invitation,,,,
,NCT03922711,P2,PD,23,Baseline and Week 16,Change in levodopa-induced dyskinesia,,2019,2020; Terminated,,,,
,NCT02006472,P2,HD,408,66 w,Change from baseline in Unified Huntington's Disease Rating Scale-Total Motor Score (UHDRS-TMS) at week 26; Change from Baseline in modified Physical Performance Test (mPPT); Summary of participants with Adverse Events,,2013,2019; Completed,,,,
,NCT02494778,P2,HD,248,364 w,Percentage of participants with adverse events; Proportion of subjects (%) who prematurely discontinued from the study; Proportion of subjects (%) who prematurely discontinued from the study due to AEs,,2015,2019; Terminated,,,,
,NCT00665223,P3,HD,437,"At 4, 8, 12 and 26 w","The primary objective is to assess the effects of ACR16 on voluntary motor function in HD patients, as defined as the sum score of items 4-10 and 13-15 of the UHDRS motor assessment (a modified motor score mMS) at 26 weeks of treatment.; Safety and tolerability assessed from adverse event profile.; The effects of ACR16 on CGI, cognitive function, behaviour and symptoms of depression and anxiety.",,2008,2016; Completed,,,,
Deep Brain Stimulation,NCT01581580,N/A,PD,200,3 m,physiology and efficacy of DBS surgery for movement disorders,,2012,2021; Recruiting,,,device,
,NCT04329676,N/A,PD,62,6 m,Change in UPDRS III score without medication; Materiovigilance; Therapeutic Window (TW); Change in PDQ-39 score without medication.; UPDRS; Change in dopaminergic medication,,2020,2021; Recruiting,,,,
,NCT04184791,N/A,PD,30,1 minute test session for each stimulation condition,Change in Gait and Balance using Wearable Sensors; Accuracy of Predicting Gait Response to 60hz with Machine Learning; Accuracy of Predicting Best Stimulation Frequency (60hz vs. High Frequency) with Machine Learning; Change in Hand Tremor Severity; Change in Speed of Limb Movements,,2019,2021; Recruiting,,,,
,NCT01839396,N/A,PD,313,From baseline to 12 w post-randomization,Secondary Endpoints; Change in ON Time as Measured by Parkinson's Disease Diary,,2013,"2020; Active, not recruiting",,,,
,NCT03212885,N/A,PD,81,1 week,Motor testing; Dyskinesias; Cognition; Depression; Anxiety; Suicide; Non-motor features of Parkinson's disease; Motor aspects of daily living,,2017,2020; Recruiting,,,,
,NCT03664609,,PD,5000,5 yrs. post implant,Mean Change in Unified Parkinson's Disease Rating Scale (UPDRS III) at up to 5 years post implant compared to baseline,,2018,2020; Recruiting,,,,
,NCT01221948,P2,PD,53,52 w post first lead implantation,"Percentage of Participants With Improved, No Change or Worsened Global Impression of Change (GIC) as Compared to Baseline, Evaluated by the Neurologist.; Mean Change in UPDRS III Score From Baseline in the Meds Off Condition (no Medications) to 26 Weeks Post First Lead Implantation in the Stim on/Meds Off Condition (Stimulation on and no Medications).; Mean Percent Change in Quality of Life Scale Scores: Modified Schwab and England (SE) Scores From Baseline Meds on to 12, 26 and 52 Weeks Post First Lead Implantation Stim on/Meds on; Mean Percent Change in Quality of Life Scale Scores: Parkinson's Disease Questionnaire (PDQ-39) From Baseline Meds on to 12, 26 and 52 Weeks Post First Lead Implantation Stim on/Meds on.; Mean Change in the Number of Waking Hours Per Day With Good Symptom Control and no Troublesome Dyskinesia From Baseline to 12, 26 and 52 Weeks Post First Lead Implantation.; Mean Change in Antiparkinsonian Medication Use in Mgs (Levodopa or Equivalents) From Baseline to 12, 26 and 52 Weeks Post First Lead Implantation; Mean Change in UPDRS II Score From Baseline Meds Off to 12, 26 and 52 Weeks Post First Lead Implantation Stim on/Meds Off.; Mean Change in UPDRS III Score From Baseline Meds Off to 12 and 52 Weeks Post First Lead Implantation Stim on/Meds Off.",,2010,2020; Completed,,,,
,NCT04524377,N/A,PD,47,Two years after DBS,Sagittal Imbalance; Spine Mobility; Oswestry Disability Index (ODI); Visual Analoge Scale (VAS); Unified Parkinsons Disease Rating Scala (Part III Motor Examination) (UPDRS-Part III); Parkinsons Disease Questionaire 39 (PDQ-39); Pelvic incidence (PI); Pelvit tilt (PT); Sacral slope (SS); Lumbar Lordisis (LL); Mismatch of Pelvic incidence and LL (PI - LL); Scoliosis,,2020,2020; Recruiting,,,,
,NCT02994719,,"HD, CBD, MSA, PSP, PD",120,"through study completion, an average of 1 year",Gait speed; Swing duration; Stance duration; Cadence; Stride length,,2016,"2020; Active, not recruiting",,,,
,NCT01427530,,PD,10,At baseline,recording and evaluating brain activity from Deep Brain Stimulating (DBS) electrodes in patients with Parkinson's disease.,,2011,2019; Completed,,,,
,NCT01703598,N/A,PD,69,Baseline and 6 m,Change in Motor OFF Ldopa UPDRS,,2012,2019; Completed,,,,
,NCT03992625,,PD,1000,Change in UPDRS at 1 year after DBS (from preoperative baseline).,UPDRS,,2019,2019; Recruiting,,,,
,NCT03558568,N/A,PD,18,3 m,The effect of Deep brain stimulation on facial expressions will be analyzed by volunteers via a web site then the results will evaluate by statistical analyses.,,2018,2019; Recruiting,,,,
,NCT02318927,N/A,PD,8,Change from Screening to 6 Months,Number of Freezing of Gait (FoG) episodes in the laboratory during the FoG battery; Number of adverse events (AE's) .; Freezing of gait questionnaire; Gait and falls questionnaire; Activities/balance confidence scale; Parkinson's disease quality of life questionnaire; Unified Parkinson's Disease Rating Scale (UPDRS) Part 3 to assess Parkinson's disease symptom severity on medication and on stimulation; Number of falls reported on Falls Diary; Unified Parkinson's Disease Rating Scale (UPDRS) Part 3 to assess Parkinson's disease symptom severity off medication and on stimulation; Total Unified Parkinson's Disease Rating Scale (UPDRS) to assess Parkinson's disease symptom severity on medication and on stimulation,,2014,2018; Completed,,,,
,NCT03562403,N/A,PD,16,baseline(pre-DBS and 6 m post-DBS,Change in the unified parkinson's disease rating scale score; Change in antiparkinsonian medication use,,2018,2018; Unknown status,,,,
,NCT01559220,N/A,AD,3,24 m,Clinical Dementia Rating Scale,,2012,2017; Completed,,,,
,NCT03088592,N/A,PD,30,pre-operative; intra-operative ; 10-14 post-operative; 12 week post-operative; 6 m post-operative,Neural Recordings,,2017,2017; Unknown status,,,,
,NCT02601144,P1,PD,28,Change from Baseline to 6、12 Months,Timed Up and Go (TUG) task; the number of freezing episodes for TUG task; UPDRS III scores; Gait and Falls Questionnaire (GFQ) scores; the39-item Parkinson's Disease Questionnaire (PDQ-39) scores; the Freezing of Gait Questionnaire (FOG-Q) scores; Number of adverse events (AE's),,2015,2017; Completed,,,,
,NCT02263430,N/A,HD,8,12 month,Unified Huntington's Disease Rating Scale(UHDRS),,2014,2016; Unknown status,,,,
,NCT02154724,N/A,PD,20,up to 1 year,Percentage of improvement in unified parkindon's disease rating scale (UPDRS score) of aDSB compare to cDBS; Number of participants with adverse events,,2014,2014; Unknown status,,,,
,NCT01446549,N/A,PD,40,Change from baseline up to 16 w,Change in Isometric Tremor Approximate Entropy,,2011,2013; Completed,,,,
,NCT01274832,,PD,40,after 3 and12 m of stimulation,percentage of improvement in motor aspects; Neuropsychological aspects; Psychiatrical aspects; Quality of Life; Medication intake,,2011,2011; Unknown status,,,,
tDCS,NCT03074812,N/A,PD,80,1 month,Number of Participants Demonstrating improvements on Objective Rating Scales of Depression via structured interview; Apathy Scores as measure by a self-report scale (the Apathy Scale); Subjective Depression Severity rated via self-report on depression inventory; Subjective reactive to pleasure (i.e. improvement of anhedonia) as rated via self-report; Subjective improvement of Anxiety Symptoms via Rating Scale; Performance on abbreviated cognitive battery; Improvement of Parkinsonian Motor Symptoms,,2017,2021; Recruiting,,,device,
,NCT04811066,N/A,PD,45,"Four assessments: Baseline / pre-intervention, three-d post intervention, 1 week post intervention, and 4 w post intervention",Change from baseline: sequential finger tapping performance; Change from baseline: shape-counting error; Change from baseline: oxygenated haemoglobin response; Change from baseline: Movement Disorders Society Unified Parkinson's Disease Rating Scale Motor Section (Part 3); Change from baseline: upper limb motor task performance; Change from baseline: Purdue pegboard task performance,,2021,2021; Recruiting,,,,
,NCT04787406,N/A,PD,33,"Two assessments: Baseline / pre-intervention, and immediately post-intervention",Change from baseline sequential finger tapping performance; Change from baseline oxygenated haemoglobin response; Change from baseline shape-counting error,,2021,2021; Completed,,,,
,NCT04759092,N/A,AD,8,8 m,To investigate tolerability; To investigate effect of the treatment,,2021,2021; Recruiting,,,,
,NCT04090385,N/A,PD,45,"Baseline, after 6 w, and after 10 w (follow-up)",Changes in motor function assessed by the Unified Parkinson's Disease Rating Scale - Part III (UPDRS - III); Changes in cognitive function assessed by the Montreal Cognitive Assessment (MoCA); Changes in attention and mental flexibility assessed by the Trail Making Test - A and B; Changes in executive functions and planning assessed by the London Tower Task; Changes in working memory assessed by the Digit Span Forward and Backward Test; Changes in balance assessed by the Mini-BESTest; Changes in gait speed assessed by 10 Meter Walk Test; Changes in quality of life for people with Parkinson's disease assessed by the Parkinson's Disease Questionnaire (PDQ-39),,2019,2021; Recruiting,,,,
,NCT04099524,N/A,MCI,40,from baseline to 8-week after delivering 14-session intervention,Change of NPS-shared neural circuit; Change of informant-rated NPS,,2019,2021; Recruiting,,,,
,NCT02596906,N/A,MCI,22,Two longitudinal measurements at baseline and 1-month,Regional Brain Blood Flow Change Immediately After 1 Month of Cognitive Training and tDCS Brain Stimulation; Change From Baseline in California Verbal Learning Task Score,,2015,2021; Completed,,,,
,NCT03473522,P2/P3,PD,30,"8 w, 3 and 6 m after randomization",Change From balance; Change From Unified Parkinson´s Disease Rating Scale; Change From Parkinson Disease Quality of Life; Change in the perception scale of the overall effect; Maximal Isometric Voluntary Contraction; Tampa Scale for Kinesiophobia (TSK); Geriatric Depression Scale (GDS),,2018,2020; Recruiting,,,,
,NCT04524338,N/A,AD,20,two years,General Cognition,,2020,2020; Not yet recruiting,,,,
,NCT02266004,N/A,PD,9,"baseline, 3 w",Change in the Freezing of Gait Questionnaire (FOG-Q); Change in the Auditory Consonant Trigrams Test (ACT); Change in the Montreal Cognitive Assessment (MOCA); Change in the Trail Making Test Time; Change in Backward Digit Span; Change in Glutamate/Gamma Aminobutyric Acid(GABA) Ratio; Change in Motor Threshold; Change in Timed Up-and-Go (TUG) Time; Change in Postural Sway; Change in Stride Length; Change in Motor Scores as Measured by Unified Parkinson's Disease Rating Scale (UPDRS); Change in Walking Speed,,2014,2020; Terminated,,,,
,NCT04046055,N/A,PD,7,"Through study completion, up to 6 m","Time to complete the fast 30 meter walk test; Distance walked in the 6 Minute Walk Test; Time to complete the Timed Up and Go test; Movement of the center of pressure (2D; forward-backward, left-right) while standing on a firm surface (force platform) for 1 minute; Movement of the center of pressure (2D; forward-backward, left-right) while standing on a foam surface (6 cm foam pad placed on top of force platform) for 1 minute; Movement of the center of pressure (1D; forward-backward) while standing on a firm surface for 1 minute; Movement of the center of pressure (1D; forward-backward) while standing on a foam surface for 1 minute; Movement of the center of pressure (1D; left-right) while standing on a firm surface for 1 minute; Movement of the center of pressure (1D; left-right) while standing on a foam surface for 1 minute",,2019,2020; Completed,,,,
,NCT03670615,N/A,"AD, MCI",30,Change over 2 w (Midpoint to Endpoint),Change in global cognitive function: The Montreal Cognitive Assessment (MoCA) Total Scores; Changes in concentration of blood biomarkers of brain plasticity; Change in neuropsychiatric symptoms: The Neuropsychiatric Inventory (NPI); Change in cognition: n-back reaction time; Change in cognition: n-back accuracy; Change in cognition: The Word Recall Task from the Alzheimer's Disease Assessment Scale-Cog (ADAS-Cog); Change in cognition: The Word Recognition Task from the Alzheimer's Disease Assessment Scale Cog (ADAS-Cog),,2018,2020; Recruiting,,,,
,NCT04171804,N/A,PD,20,Up to one month,"Changes in cognitive performance in Trail Making B Test during the study period; Changes in response conflict in the Stroop Test during the study period; Change in the verbal fluency performance during the study period; Changes in Trail Making A Test performance during the study period; Changes in digit span during the study period; Changes in delayed recall performance during the study period; Changes in verbal memory processes performance during the study period; Changes in face recognition performance during the study period; Changes in judgment of line orientation performance during the study period; Changes in the naming performance during the study period; Changes in amplitudes (in microvolts) for parameters from the ERP tests during the study period for parameters from the ERP tests during the study period; Changes in latencies (in milliseconds) for parameters from the ERP tests during the study period for parameters from the ERP tests during the study period; Changes in resting state absolute powers (measured in µv2/Hz) of alpha, beta, delta, theta, gamma bands during both eyes closed and eyes open conditions during the study period; Changes in resting state relative powers of alpha, beta, delta, theta, gamma bands during both eyes closed and eyes open conditions during the study period; Changes in resting state dominant frequencies during both eyes closed and eyes open conditions during the study period; Changes in task accuracies from the behavioral responses during the Two-tone auditory oddball and Continuous Performance Test ERP paradigms during the study period; Changes in reaction times from the behavioral responses during the Two-tone auditory oddball and Continuous Performance Test ERP paradigms during the study period; Changes in Parkinson's Disease Quality of Life Questionnaire (PDQ-39) Score during the study period; Changes in Parkinson's Disease Fatigue Scale Score during the study period; Changes in Apathy Evaluation Scale Score during the study period",,2019,2019; Recruiting,,,,
,NCT03288363,N/A,AD,80,3 m,"Comparing between the active tDCS group with the placebo tDCS group, the cognitive subscale of the Alzheimer's Disease Assessment Scale (ADAS-Cog) score, 12 weeks after the start of the course, in subjects with early Alzheimer's disease",,2017,2019; Recruiting,,,,
,NCT04092556,N/A,MSA,10,per session: at baseline and within 30 minutes tDCS treatment completion,Change from posturography; Change from International Cooperative Ataxia Rating Scale (ICARS); Change from temporospatial parameters of gait,,2019,2019; Recruiting,,,,
,NCT03441152,N/A,MCI,66,15 minutes,Montreal Cognitive Assessment (MoCA); Digit Span Test; Trial Making Test (TMT); Riverhead Behavioral Memory Test (3rd edition) (RBMT-3); Cognitive training activities ( Neuronup cognitive training); EEG,,2018,2018; Unknown status,,,,
,NCT03313518,N/A,AD,30,ten d,"Change in measurement of improvement in cognitive function by using MMSE; Change in measurement of improvement in cognitive function by cornell Scale; The change of measurement of brain damage biomarkers modulation in plasma (i.e. Tau, Beta-Amyloid, Lipid Peroxidation) cornell Scale",,2017,2017; Completed,,,,
,NCT02110043,N/A,MCI,21,once,Performance in LOCATO task (Visual-spatial learning and memory) after a combination of intensive visual-spatial training and tDCS; long term effects; functional changes: Connectivity; cortical excitability; Quality of Life; memory; affective state; genotyping of learning related polymorphisms,,2014,2017; Unknown status,,,,
,NCT02518412,N/A,AD,30,Changes in results from neuropsychological testing pre (before the first stimulation) og post treatment (after the last stimulation). There will be a ten d time frame from pre-test to post-test.,Neuropsychological testing,,2015,2015; Unknown status,,,,
,NCT01877148,P2,PD,12,"At baseline, after 1 month",Change From Jebsen-Taylor Hand Function Test - Jebsen Test; Change From Parkinson Disease Quality of Life - PDQL; Change From Cortical Excitability Via Single Transcranial Magnetic Stimulation; Change From Unified Parkinson´s Disease Rating Scale - UPDRS,,2013,2015; Completed,,,,
,NCT02104401,P1,PD,10,16 w,Improvement of Motor and Speech Symptoms of Parkinson's Disease or Related Disorders; Improvement of Neuropsychiatric Symptoms of Parkinson's Disease or Related Disorders,,2014,2014; Completed,,,,
,NCT01771211,N/A,MCI,18,"Change in fMRI activity between Assessment 1 (week 1) and Assessment 2 (week 2), assessments 1 and 2 are seperated by one week",Number of correct responses during word-generation tasks (max. 60); Neural activity during word-generation task assessed by functional magnetic resonance imaging (fMRI),,2013,2013; Completed,,,,
Transcranial Direct Current Stimulation,NCT03074812,N/A,PD,80,1 month,Number of Participants Demonstrating improvements on Objective Rating Scales of Depression via structured interview; Apathy Scores as measure by a self-report scale (the Apathy Scale); Subjective Depression Severity rated via self-report on depression inventory; Subjective reactive to pleasure (i.e. improvement of anhedonia) as rated via self-report; Subjective improvement of Anxiety Symptoms via Rating Scale; Performance on abbreviated cognitive battery; Improvement of Parkinsonian Motor Symptoms,,2017,2021; Recruiting,,,deice,
,NCT04090385,N/A,PD,45,"Baseline, after 6 w, and after 10 w (follow-up)",Changes in motor function assessed by the Unified Parkinson's Disease Rating Scale - Part III (UPDRS - III); Changes in cognitive function assessed by the Montreal Cognitive Assessment (MoCA); Changes in attention and mental flexibility assessed by the Trail Making Test - A and B; Changes in executive functions and planning assessed by the London Tower Task; Changes in working memory assessed by the Digit Span Forward and Backward Test; Changes in balance assessed by the Mini-BESTest; Changes in gait speed assessed by 10 Meter Walk Test; Changes in quality of life for people with Parkinson's disease assessed by the Parkinson's Disease Questionnaire (PDQ-39),,2019,2021; Recruiting,,,,
,NCT04524338,N/A,AD,20,two years,General Cognition,,2020,2020; Not yet recruiting,,,,
,NCT03638284,N/A,AD,13,2 w,The rate of successful completion of the 2 week tDCS treatment course and rates of treatment associated adverse effects of tDCS in agitation due to NPSD; Effects of a 2 week course of tDCS on agitation as assessed by Cohen Mansfield Agitation Inventory (CMAI).; Effects of a 2 week course of tDCS on agitation as assessed by Neuropsychiatric Inventory (NPI).; Effects of a 2 week course of tDCS on agitation and other neuropsychiatric symptoms related to dementia as assessed by Clinical Global Impression (CGI).; Effect of tDCS on caregiver burden in agitation due to NPSD as assessed by Zarit Burden Interview (ZBI),,2018,2020; Completed,,,,
,NCT04221659,N/A,PD,60,"Baseline, after 6 w, and after 10 w",Change in EEG microstates; Spectral analysis of EEG frequencies; Motor aspects of daily life; Stroop test; Dual Task; Verbal Fluency Test,,2020,2020; Recruiting,,,,
,NCT02351388,N/A,AD,4,baseline,Attrition rate due to any adverse event; Rate of adverse events related to tDCS procedure; Geriatric Depression Scale; Cornell Scale for Depression in Dementia; Neuropsychiatric Inventory; Zarit Burden Interview; Clinical Global Impression of Improvement; Starkstein Apathy Scale; Clinical Dementia Rating; Quality of Life - Alzheimer's Disease; ADCS-ADL,,2015,2020; Terminated,,,,
