Table 3.  Biomarkers in independent trials involving more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
,NCT03373604,P2,AD,175,Up to one year from screening.,Correlation of 18F-MK-6240 binding and CSF markers of neurodegeneration and inflammation.; 18F-MK-6240 binding (standardized uptake value ratio),,2017,2019; Enrolling by invitation,,,
Repetitive Transcranial Magnetic Stimulation,NCT02420522,P2,MCI,64,Three w,Cognitive changes,,2015,2021; Suspended,,,device
,NCT04048265,N/A,PD,52,"Pre-treatment, post-treatment 0, 4 w",Changes in the pain caused by Parkinson's Disease as measured by Visual Analogue Scale Score.; Changes in the patient's parkinson's disease as measured by Unified Parkinson's Disease Rating Scale III(UPDRS III) score.,,2019,2020; Completed,,,
,NCT04313530,N/A,MSA,22,"Pre-treatment, post-treatment 0, 2, 4 w",Changes in Fatigue Severity Scale (FSS); Changes in HAMD; Changes in HAMA,,2020,2020; Enrolling by invitation,,,
,NCT02468804,N/A,PD,120,Change immediately after a single session TMS (pre will be done 1 week prior),Performance on working memory task (N-back task),,2015,"2019; Active, not recruiting",,,
,NCT03906903,N/A,MCI,20,1 week,Montreal Cognitive Assessment (MoCA); Mini Mental State Examination (MMSE); Attention and Memory Neuropsychological Battery (NEUROPSI); Changes in Depressive symptoms evaluated by Geriatric Depression Scale (GDS - Yesavage - Brink); Changes in impulsive behavior evaluated by Barratt Impulsivity Scale (BIS-11),,2019,2019; Recruiting,,,
,NCT02537496,N/A,AD,36,Change from baseline at 7 d and 6 m after intervention.,Change in N-back Task Performance; Changes in Theta Phase-Gamma Amplitude Coupling; Changes in DLPFC Neuroplasticity; Changes in Cognitive Function Measures Scores; Validating a new scale for insight in Alzheimer's disease.,,2015,2019; Completed,,,
,NCT03350464,N/A,PD,10,10 w,No change in the patient's parkinson's disease as measured by Unified Parkinson's Disease Rating Scale III; An improvement by a minimum of 30% in the pain caused by Parkinson's Disease as measured by the King's Parkinson's Disease Pain Scale,,2017,2017; Unknown status,,,
,NCT01275573,P2,PD,30,"D1 T0, D1 T1h30mn, D7 T0, D7 T1h30mn",Analgesic effect of Repetitive Transcranial Magnetic Stimulation using Visual Analogue Scale; Change of subjective pain threshold determined using thermal stimulation (Thermotest) with the method of levels after rTMS session; - Clinical evaluation of the severity of the motor handicap of patients using Unified's Parkinson's Disease Rating Scale (UPDRSIII); Mood assessment using Visual Analogue Scale,,2011,2013; Completed,,,
18F-AV-1451,NCT02414178,P2,AD,130,5 years,"F 18 T807 Standard Uptake Value Ratios (SUVR) will be correlated with other imaging modalities (MRI, PET amyloid imaging) and cognitive performance.",,2015,"2021; Active, not recruiting",,,
,NCT03816228,P2,AD,80,5 years,F 18 T807 Standard Uptake Value Ratios,,2019,2021; Not yet recruiting,,,
,NCT02414282,,AD,20,5 years,"F 18 T807 Standard Uptake Value Ratios (SUVR) will be correlated with other imaging modalities (MRI, PET amyloid imaging) and cognitive performance.",,2015,2021; Completed,,,
,NCT03287765,,AD,80,5 years,"Examine the association among T807-PET measures of PHF-tau.; Characterize the amount and spatial distribution of T807-PET measures in healthy aging. preclinical AD, and early symptomatic AD.; Characterize the amount and spatial distribution of T807-PET measures in preclinical AD.; Characterize the amount and spatial distribution of T807-PET measures in early symptomatic AD.; Examine the association among T807-PET measures of concentrations of CSF biomarkers. and cognitive performance.; Examine the association among T807-PET measures of cognitive performance.; Evaluate the change in T807-PET measures over time in asymptomatic amyloid-positive individuals and its association with changes in concentrations of CSF biomarkers.",,2017,"2020; Active, not recruiting",,,
,NCT02414347,,AD,900,5 years,"F 18 T807 Standard Uptake Value Ratios (SUVR) will be correlated with other imaging modalities (MRI, PET amyloid imaging) and cognitive performance.",,2015,"2020; Active, not recruiting",,,
,NCT03040713,P1,FTDLD,16,baseline scan,Quantitative Evaluation of Flortaucipir PET Scans; Qualitative Evaluation of Flortaucipir PET Scans,,2017,2020; Completed,,,
,NCT04468347,P1,"MCI, AD",89,baseline scan,Number of Participants With AD Pattern Flortaucipir PET Scan and Relationship to Cognitive Status; Number of Participants With Advanced AD Pattern Flortaucipir PET Scan and Relationship to Cognitive Status; Flortaucipir PET Imaging (Quantitative),,2020,2020; Completed,,,
,NCT04474405,Early P1,AD,36,injection to 6 hours postdose,Flortaucipir Whole Body Effective Dose With Urine Radioactivity; Flortaucipir PET Correlations With Cognitive Assessments Cognitive Assessments (Alzheimer's Disease Assessment Scale); Flortaucipir PET Correlations With Cognitive Assessments Cognitive Assessments (Digit Symbol Substitution Test); Flortaucipir PET Correlations With Cognitive Assessments (Mini-mental State Exam); Flortaucipir Whole Body Effective Dose; Brain Flortaucipir Uptake,,2020,2020; Completed,,,
,NCT02016560,P2/P3,AD,383,baseline scan,"Exploratory Phase: Correlation Between Flortaucipir SUVr and Age; Confirmatory Phase: Diagnostic Performance of Flortaucipir Visual Read; Exploratory Phase: Longitudinal Change in Tau Deposition Over Time, by Amyloid Status; Exploratory Phase: Cross-sectional Flortaucipir Imaging Results; Confirmatory Phase: Relationship Between Neocortical Flortaucipir Uptake and the Subsequent Rate of Cognitive Decline",,2013,2020; Completed,,,
,NCT03279523,,AD,60,5 years,"Perform human in vivo tau imaging using F 18 T807 in 30 older (≥ 40 years old) HIV+ participants and 30 HIV- controls.; : Correlate regional quantitative T807 binding potentials (BPs) with cognitive impairment, as documented by neuropsychological performance tests, in HIV+ and HIV- individuals.",,2017,2020; Completed,,,
,NCT03283449,P1,AD,70,2 years,Tau levels in PPA participants,,2017,2020; Recruiting,,,
,NCT02278354,P1,AD,35,baseline scan,Flortaucipir Imaging (Qualitative) Between Fighter Groups; Flortaucipir Imaging (Qualitative) Between Cognitive Groups; Flortaucipir Imaging (Quantitative) Between Fighter Groups; Flortaucipir Imaging (Quantitative) Between Cognitive Groups,,2014,2020; Completed,,,
,NCT02278367,P2,AD,179,baseline and follow-up scans,Flortaucipir PET Scan SUVr; Number of Participants With Adverse Events Related to Flortaucipir Administration,,2014,2020; Completed,,,
,NCT03901092,P3,AD,242,baseline scan,Secondary Objective 4: Intra-reader Reliability of Reader Interpretation of Flortaucipir-PET Imaging; Secondary Objective 3: Inter-reader Reliability of Flortaucipir PET Scan Interpretation in the Population of Intended Use; Secondary Objective 2: Inter-reader Reliability of Reader Interpretation of τAD++ Flortaucipir PET Images; Secondary Objective 1 Analysis 2: Diagnostic Performance of τAD++ Flortaucipir PET Images to Detect High ADNC; Secondary Objective 1 Analysis 1: Diagnostic Performance of τAD++ Flortaucipir PET Images to Detect B3 NFTs; Primary Objective 2: Inter-reader Reliability of Reader Interpretation of Flortaucipir-PET Imaging; Primary Objective 1 Analysis 2: Diagnostic Performance of Individual Readers (NIA-AA Autopsy Diagnosis); Primary Objective 1 Analysis 1: Diagnostic Performance of Individual Readers (NFT Score),,2019,2020; Completed,,,
,NCT01992380,P1,AD,24,110-130 minutes postdose,Test-Retest Reproducibility,,2013,2020; Completed,,,
,NCT02051764,P2,AD,44,baseline scan and at least 6 m after baseline scan,Change in Tau Deposition,,2014,2020; Terminated,,,
,NCT02079766,P2,CTE,41,baseline scan,Relationship Between Clinical Presentation and Tau Deposition (Subjects at High Risk of CTE Only); Flortaucipir Visual Read as CTE Biomarker,,2014,2020; Completed,,,
,NCT02516046,P3,AD,156,at autopsy within 9 m of baseline scan,Diagnostic Performance of Individual Readers (NFT Score B2-B3 as Truth Positive); Inter-Reader Agreement; Flortaucipir Diagnostic Performance (NIA-AA Autopsy Diagnosis); Flortaucipir Diagnostic Performance (NFT Score); Primary Outcome 2: Diagnostic Performance of Individual Readers (NIA-AA Autopsy Diagnosis); Primary Outcome 1: Diagnostic Performance of Individual Readers (NFT Score),,2015,2020; Completed,,,
,NCT02167594,P1,"CBD, PSP",29,baseline and 9 month scans,"Flortaucipir Imaging in PSP, CBD and Healthy Volunteers",,2014,2020; Completed,,,
,NCT03901105,P3,AD,205,baseline scan,Inter-Reader Reliability of Reader Interpretation of Flortaucipir F 18 PET Imaging; Mean Change in Cognitive/Functional Assessments; Risk Ratio for AD Symptom Progression on Various Clinical Measures; Risk Ratio for AD Symptom Progression on CDR-SB,,2019,2020; Completed,,,
,NCT02795780,P2,AD,79,18 m,Change in Tau Deposition Over Time by Diagnostic Group and Amyloid Status,,2016,2020; Completed,,,
,NCT03322462,P2,AD,155,baseline scan,Flortaucipir Qualitative Results (Visual Reads); Flortaucipir Quantitative Results (SUVr),,2017,2020; Completed,,,
,NCT03467477,P2,AD,161,baseline scan,Flortaucipir Qualitative Results (Visual Reads); Flortaucipir Quantitative Results (SUVr),,2018,2020; Completed,,,
,NCT02336360,P1,AD,6,0-360 minutes post injection,Urine Analysis - Total Integrated Radioactivity Excreted in Urine,,2015,2020; Completed,,,
,NCT02707978,P2,AD,0,5 years,"F 18 T807 Standard Uptake Value Ratios (SUVR) will be correlated with other imaging modalities (MRI, PET amyloid imaging) and cognitive performance.",,2016,2020; Withdrawn,,,
,NCT02676843,P2,FTDLD,7,"Baseline, 12-month follow up",SUVR of 18F-AV-1451,,2016,2019; Completed,,,
,NCT02350634,P1,AD,3,autopsy within 6 m of scan,Relationship of 18F-AV-1451 scan and pathology,,2015,2018; Completed,,,
Brain MRI,NCT03940677,N/A,PD,120,In a seven m period after inclusion,"To compare cortical excitability differences between subjects; To compare brain structural differences between subjects; To compare brain perfusional differences between subjects; To compare brain connectivity differences between subjects; To compare emotional, attentional and behavior differences between subject; To compare emotional, attentional and behavior differences between subject with functional MRI",,2019,2021; Recruiting,,,
,NCT04691011,N/A,ALS,160,Baseline and Month 6,Disease progression using MRI; Link between MRI and clinical scales; Link between MRI and MUNIX; Alterations of metabolic and funtional brain,,2020,2021; Recruiting,,,
,NCT04257513,,HD,60,after 2-years follow up visit,plasmatic 24OHC levels; Changes in the score of the Unified Huntington Disease Rating Scale (UHDRS); Changes in score at the Digit Symbol Modalities Test (DSMT); Changes in caudate nucleus volume measured at MRI,,2020,2021; Recruiting,,,
,NCT04012411,N/A,HD,135,Inclusion,BDNF(csf) in HD subjects compared to age-matched control subjects (+/- 5 years); plasmatic BDNF in HD subjects vs controls; Correlation between BDNF in CSF and BDNF in plasma; Correlation between BDNF and disease parameters; Total Tau and NFL levels in plasma and CSF in HD subjects vs control subjects; TrkBcsf level in subjects with HD vs control subjects,,2019,2020; Recruiting,,,
,NCT04474405,Early P1,AD,36,injection to 6 hours postdose,Flortaucipir Whole Body Effective Dose With Urine Radioactivity; Flortaucipir PET Correlations With Cognitive Assessments Cognitive Assessments (Alzheimer's Disease Assessment Scale); Flortaucipir PET Correlations With Cognitive Assessments Cognitive Assessments (Digit Symbol Substitution Test); Flortaucipir PET Correlations With Cognitive Assessments (Mini-mental State Exam); Flortaucipir Whole Body Effective Dose; Brain Flortaucipir Uptake,,2020,2020; Completed,,,
,NCT02811653,N/A,AD,155,Day 0,median SRT (simple reaction time) to a stimulus (in milliseconds),,2016,2016; Unknown status,,,
,NCT02574182,,MCI,70,One day,"Review and compare mapping cerebral activation in brain MRI; Review and compare mapping brain activation in healthy subjects and MCI MRI in imagination alone walking.; Study of differences in terms of activation of brain mapping; study of functional connectivity of sensorimotor cortex obtained by fMRI resting in the subject MCI.; study of the potential effects on muscle activation, and autonomic nervous system",,2015,2015; Unknown status,,,
,NCT01815112,N/A,"MCI, AD",60,Day 366,Dynamic FDG (fluoro-deoxyglucose) PET; Aqueductal CSF flow; Follow-up MRI; Follow-up PET,,2013,2015; Terminated,,,
PET scan,NCT04101968,,PD,25,baseline,Acetylcholinesterase activity; Tau protein deposition; Dopaminergic denervation; neuroQWERTY index,,2019,2021; Recruiting,,,
,NCT04398719,Early P1,CBD,15,10 Days,Microglial activation using [11C]PBR28 PET imaging; Capsaicin-induced hyperalgesia,,2020,2021; Recruiting,,,
Positron Emission Tomography,NCT04726527,,AD,48,4 years,Detecting amyloid burden in subjects with neurodegenerative diseases,,2021,2021; Completed,,,
,NCT04080544,P2,AD,125,1-year post study completion,Standardized Uptake Value Ratios (SUVrs) Calculated From [18F]AV-1451 PET Scans; Relationship of Tau Accumulation with Episodic Memory Function; Relationship of Tau Accumulation with Amyloid Accumulation; Relationship of Tau Accumulation with Speed of Processing; Relationship of Tau Accumulation with Reasoning Function; Relationship of Tau Accumulation with Crystallized Intelligence; Relationship of Tau Accumulation with Participants' Age; Comparison of Tau SUVr scores with Hippocampal Volume and Cortical Thickness; Comparison of Tau Accumulation with White Matter Integrity; Comparison of Tau Accumulation with Functional magnetic resonance imaging (MRI),,2019,2021; Recruiting,,,
,NCT02681172,P4,AD,218,Visit 1 (baseline evaluation),Number of Subjects Who Refused Lumbar Puncture.; Number of Subjects With Available CSF Analysis But Results Considered as Non-contributory by the Clinician; Number of Subjects With Contraindicated or Failed Lumbar Puncture; Number of Subjects With Negative FBB PET Scans; Number of Subjects With Positive FBB PET Scan; Number of Participants With a Change of Management Plan Comparing Pre- and Post-scan Outcomes; Number of Subjects With Improved Level of Physician Confidence in Diagnosis at Visit 3; Number of Participants With a Change of Diagnosis Comparing Pre- and Post-scan Outcomes,,2016,2018; Completed,,,
,NCT02928211,P1,"MCI, AD",105,"through study completion, approximately 4 w","Paired pre-ligand and post ligand fluorescent uptake values (FUV); Determination of success (yes or no); The overall diagnostic precision for each combination of Aftobetin-HCl administrations and Fluorescent Uptake Value (FUV); Estimates of sensitivity and specificity of MCI and mild AD subjects compared to cognitively normal subjects; Safety of Sapphire II procedure as determined by instances of Adverse Events; Characterization of maximal fluorescence after 1, or potentially 3, ointment administrations; Intra-class correlation of the repeatability of the Sapphire II measurements to verify the system's reliability for reproducible results; Correlation of FUV to PET amyloid status",,2016,2018; Unknown status,,,
,NCT00468078,P3,PD,78,10 d,"diagnostic sensitivity and specificity, and acute complication; correlation of specific striatal uptake to non specific uptake ratio of F-18 FPCIT and clinical sererity (H&Y stage)",,2007,2016; Completed,,,
PET,NCT04726527,,AD,48,4 years,Detecting amyloid burden in subjects with neurodegenerative diseases,,2021,2021; Completed,,,
,NCT04080544,P2,AD,125,1-year post study completion,Standardized Uptake Value Ratios (SUVrs) Calculated From [18F]AV-1451 PET Scans; Relationship of Tau Accumulation with Episodic Memory Function; Relationship of Tau Accumulation with Amyloid Accumulation; Relationship of Tau Accumulation with Speed of Processing; Relationship of Tau Accumulation with Reasoning Function; Relationship of Tau Accumulation with Crystallized Intelligence; Relationship of Tau Accumulation with Participants' Age; Comparison of Tau SUVr scores with Hippocampal Volume and Cortical Thickness; Comparison of Tau Accumulation with White Matter Integrity; Comparison of Tau Accumulation with Functional magnetic resonance imaging (MRI),,2019,2021; Recruiting,,,
,NCT04720001,,AD,30,2 Years,Amyloid plaque levels in PPA participants,,2021,2021; Recruiting,,,
,NCT03283449,P1,AD,70,2 years,Tau levels in PPA participants,,2017,2020; Recruiting,,,
,NCT04265209,P3,PD,112,"The independent review committee will analyse the PET and SPECT images blindly. These analyses will be done by batch of 25 patients. Outcome will be assessed at the end of the study, an average of 2 years after first patient in.",Sensitivity and specificity by visual analysis,,2020,2020; Not yet recruiting,,,
,NCT02681172,P4,AD,218,Visit 1 (baseline evaluation),Number of Subjects Who Refused Lumbar Puncture.; Number of Subjects With Available CSF Analysis But Results Considered as Non-contributory by the Clinician; Number of Subjects With Contraindicated or Failed Lumbar Puncture; Number of Subjects With Negative FBB PET Scans; Number of Subjects With Positive FBB PET Scan; Number of Participants With a Change of Management Plan Comparing Pre- and Post-scan Outcomes; Number of Subjects With Improved Level of Physician Confidence in Diagnosis at Visit 3; Number of Participants With a Change of Diagnosis Comparing Pre- and Post-scan Outcomes,,2016,2018; Completed,,,
,NCT03641768,N/A,AD,0,Baseline,Cortical thickness as measured by MRI scans; Beta amyloid plaques as measured by PET scans; Tau proteins as measured by PET scans,,2018,2018; Withdrawn,,,
,NCT02928211,P1,"MCI, AD",105,"through study completion, approximately 4 w","Paired pre-ligand and post ligand fluorescent uptake values (FUV); Determination of success (yes or no); The overall diagnostic precision for each combination of Aftobetin-HCl administrations and Fluorescent Uptake Value (FUV); Estimates of sensitivity and specificity of MCI and mild AD subjects compared to cognitively normal subjects; Safety of Sapphire II procedure as determined by instances of Adverse Events; Characterization of maximal fluorescence after 1, or potentially 3, ointment administrations; Intra-class correlation of the repeatability of the Sapphire II measurements to verify the system's reliability for reproducible results; Correlation of FUV to PET amyloid status",,2016,2018; Unknown status,,,
,NCT00987090,N/A,AD,240,3 years,"to establish the impact of age on the clinical and neuroimaging picture of sporadic Alzheimer Disease in a multicentric setting.; to describe for each age group, and in particular for the younger patient group, the functional impact of disability in everyday life on both, patients and caregivers.",,2009,2015; Unknown status,,,
