Table 10. All Intervention Matches in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,jlc,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,,
Dasatinib + Quercetin,NCT04685590,P2,"MCI, AD",48,Baseline to Week 48,Serious Adverse Events (SAEs) and Adverse Events (AEs) in treatment group as compared to placebo group; Change in cellular senescence blood marker Senescence-Associated Secretory Phenotype (SASP) composite score; Change in cellular senescence blood marker Cluster of Differentiation 3 (CD3) in blood; Change in cellular senescence blood marker cyclin-dependent kinase inhibitor 2A (p16INK4A+) in blood; Change in cellular senescence blood marker T cells in blood; Change in Clinical Dementia Rating Scale Sum of Boxes (CDR-SB) slope; Change in the 14 - item Alzheimer's Disease Assessment Scale - Cognitive subscale (ADAS-Cog 14) slope; Change in Positron Emission Tomography (PET) - Computed Tomography (CT) - brain tau pathology,,2020,2021; Not yet recruiting,,,drug,
Skin Biopsy,NCT04700722,,"DLB, MSA, PD",500,2 years,Primary Outcome 3; Primary Outcome 1; Primary Outcome 2,,2021,2021; Recruiting,,,delete,biom
"Cognitive Behavioral Therapy for Insomnia (CBT-I), Desensitization Therapy for insomnia (DT-I)",NCT04100057,N/A,"MCI, AD",150,6 w,fronto-limbic function; Neuropsychiatric Symptoms; Insomnia symptoms,,2019,2021; Not yet recruiting,,,behav,
NYX-458,NCT04148391,P2,"PD, MCI",100,Week 12,"Change from baseline in the Two Back test; Rates of early termination due to adverse events; Change from baseline in the Groton Maze Learning Test; Change from baseline in the One Back test; Change from baseline in physical examination; Rates of adverse events and serious adverse events; Change from baseline in vital signs, clinical laboratory values, and electrocardiogram results; Change from baseline dissociative effects, psychosis, and hallucinatory symptoms as measured by the Neuropsychiatric Inventory (NPI-12); Change from baseline in suicidal ideation and behavior as measured by the Sheehan Suicidality Tracking Scale (S-STS); Change from baseline in motor complications as measured by the Movement Disorder Society Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Part 4; Change in total score of the Sheehan Suicidality Tracking Scale (S-STS); Change from baseline in the Identification Test; Change from baseline in the International Shopping List Test; Change from baseline on Continuous Paired Associate Learning Test",,2019,2021; Recruiting,,,drug,
Nicotinamide,NCT03061474,P2,"MCI, AD",48,12 Months,Change in p-tau 231; Change in p-tau 181; Change in total tau,,2017,2021; Recruiting,,,drug,
Biomarker assay,NCT04020198,,"MSA, PD",24,3 w,"Compare levels of misfolded alpha-synuclein aggregates in participants with PD, MSA, RBD, NPH and controls; Investigate the relationship between levels of misfolded alpha-synuclein aggregates and disease severity in PD and MSA; Investigate the relationship between levels of misfolded alpha-synuclein aggregates across different biofluid reservoirs, including CSF, serum, plasma, saliva, and urine",,2019,2021; Recruiting,,,biom,
COPE online training,NCT04165213,N/A,"AD, FTDLD",120,4 m,Caregiver Assessment to Function and Upset will measure change in functional ability; Neuropsychiatric Inventory will measure neuropychiatric symptoms change; Perceived Change for Better Index will measure change in caregiver well being; Short Sense of Competence Questionnaire will measure change in caregiver skills; Health Related Quality of Life change,,2019,2021; Not yet recruiting,,,behav,
Donepezil,NCT04730635,P1,"AD, MCI",36,Up to approximately Week 8,Percentage Change From Baseline in Correct Responses on the One Card Learning (OCL) Task to Week 8; Percentage Change From Baseline in the Overall Standard Deviation (sd) in Average OCL Task (Arcsine Square Root Transformed) to Week 8; Percentage of Correct Responses on the OCL Task,,2021,2021; Recruiting,,,drug,
Structured External Memory Aid Treatment (SEMAT),NCT04820335,P1,"AD, MCI",65,Baseline to immediately post-treatment,Changes in Everyday Strategy Use; Maintained Changes in Everyday Strategy Use; Changes in Memory Based Everyday Function; Changes in Self-Reported Cognition; Changes in Cognitive Abilities,,2021,2021; Not yet recruiting,,,behav,
"Optical Coherence Tomography Angiography (OCTA) Imaging, Noninvasive Retinal Amyloid Imaging (NRAI)",NCT03761381,,"MCI, AD",20,10 d,Retinal amyloid protein detection; Decreased blood flow; Decreased retinal perfusion,,2018,2021; Recruiting,,,biom,
Psilocybin,NCT04123314,Early P1,"MCI, AD",20,Baseline and 2 w after second psilocybin session,Change in Cornell Scale for Depression in Dementia (CSDD) score; Change in Quality of Life Alzheimer's Disease (QOL-AD) scale score,,2019,2021; Recruiting,,,drug,
"Active tPBM-2.0, Sham tPBM-2.0",NCT04784416,P2,"MCI, AD",125,"Baseline, up to Week 8",Change in Repeatable Battery for the Assessment of Neuropsychological Status Update (RBANS) Total Scale Index Score.; Addenbrooke's Cognitive Examination (ACE-III) Score; Letter Comparison Test Score; Pattern Comparison Test Score; Stroop Color and Word Test (SCWT); Difference in Score Between Trail Making Test-A (TMT-A) and Trail Making Test-B (TMT-B); TMT-B T-Score; Face-Name Associative Memory Exam (FNAME-12) Score; Letter Number Sequencing Score; Change in Systemic Assessment for Treatment Emergent Events - Specific Inquiry (SAFTEE-SI) Score,,2021,2021; Not yet recruiting,,,device,
PET Biomarker Disclosure,NCT04818255,N/A,"AD, MCI",100,"Change from immediately following disclosure, 1-week following disclosure, and 6-w following disclosure.",Participant Comprehension/Recall of Results Percent Correct Score: Immediately Following Disclosure; Interest in PET Biomarker Disclosure; Percent of individuals demonstrating disclosure decision-making capacity; Change in Positive and Negative Affect Scale - Short Form (PANAS-SF) Positive Subscale Score; Change in Positive and Negative Affect Scale - Short Form (PANAS-SF) Negative Subscale Score; Change in Impact of Neuroimaging in Alzheimer's Disease (INI-AD) Distress Score; Change in Impact of Neuroimaging in Alzheimer's Disease (INI-AD) Positive Emotions Score; Change in Stigma Scale for Chronic Illness (SSCI-8) Total Score; Change in Self-Efficacy for Managing Chronic Disease Scale (SECD) Total Score; Change in Future Time Perspectives Scale (FTP) Average Score; Change in Participant Comprehension/Recall of Results Percent Correct Score,,2021,2021; Enrolling by invitation,,,delete,
Posiphen,NCT04524351,P1/P2,"PD, AD",68,Baseline to 25±2 d,Incidence of Treatment-Emergent Adverse Events; Concentration of Posiphen in Plasma; Changes in Functional Impairment; Changes in Cognition,,2020,2021; Recruiting,,,drug,
Biological sample collection,NCT04270604,,"PD, ALS, HD, AD",10000,Baseline,"Establishment of a diverse bank of biological samples, stem cell lines, derivatives, and associated information.",,2020,2021; Recruiting,,,delete,
AZD0328,NCT04810104,P2,"MCI, PD",160,From baseline to week 12 (end of treatment period),"Change in Attentional Intensity Index composite factor score from baseline to week 12; Change in Attentional Intensity Index composite factor score from baseline to week 6; Change in Sustained Attention Index composite factor score from baseline to week 6 and week 12; Change in Working Memory Index composite factor score from baseline to week 6 and week 12; Screening/Baseline whole-brain and regionally specific brain volumes as predictors of treatment response; Screening/Baseline whole-brain perfusion as well as perfusion in ROIs as predictors of treatment response; Change in Episodic Memory Index composite factor score from baseline to week 6 and week 12; Change in Memory Speed Retrieval Index composite factor score from baseline to week 6 and week 12; Change in MoCA score from screening to week 12; Change in Sustained Attention Index composite factor score from week 12 to week 16; Change in Working Memory Index composite factor score from week 12 to week 16; Change in Episodic Memory Index composite factor score from week 12 to week 16; Change in Memory Speed Retrieval Index composite factor score from week 12 to week 16; Change in MDS-UPDRS Part III motor examination subscale score from baseline to week 12; Change in total score from the Non-Motor Symptom Scale from baseline to week 12; Change in total score from the 39-item Parkinson's Disease Questionnaire from baseline to week 12; Change in MCI-CGIC from baseline to week 12; Change in depression and anxiety subscale scores from the HADS from baseline to week 12; Incidence, nature and severity of AEs and SAEs during treatment period; Incidence of dosage reduction or treatment discontinuation during treatment period; Incidence of clinically significant changes or abnormal electrocardiogram (ECG) assessments, vital sign measurements and clinical laboratory values during treatment period; Changes in whole-brain and regionally specific brain volumes from baseline/screening to week 12; Changes in whole-brain perfusion as well as perfusion in regions of interests (ROIs) from baseline/screening to week 12; Changes in functional resting-state connectivity of the large-scale cognitive brain networks from baseline/screening to week 12; Screening/Baseline functional resting-state connectivity of the large-scale cognitive brain networks as predictors of treatment response; Placebo-controlled change in levels of exploratory blood-based biomarkers for neuroprotection and/or disease modification changes; Change in levels of study medication in blood from baseline to week 12",,2021,2021; Not yet recruiting,,,drug,
Physiotherapy,#REF!,N/A,"MSA, PD, PSP",180,Screening/Baseline to week 7,Sensor-based analysis; Clinical Rating scales,,2020,2021; Recruiting,,,behav,
Senicapoc,NCT04804241,P2,"AD, MCI",55,"Baseline, Week 26, Week 52","Change from Baseline in Trails B score; Change from Baseline in the Alzheimer's Disease Assessment Scale, Cognitive Subscale (ADAS-Cog 13) score; Change from Baseline to Week 52 in levels of Cerebrospinal fluid (CSF) biomarkers: IL-1β, IL-6, TNF-α, MCP-1, and IL-10; Change from Baseline to Week 52 in levels of serum biomarkers: IL-6, TNF-α, MCP-1, and IL-10 and high sensitivity C-Reactive protein; Change from Screening in the Clinical Dementia Rating (CDR) sum of boxes score; Change from Baseline in the Everyday Cognition (ECog) score; Change from Screening in Montreal Cognitive Assessment (MoCA) score; Change from Baseline to Week 52 in Spanish English Neuropsychological Assessment Scales (SENAS) memory score; Change from Baseline to Week 52 in Spanish English Neuropsychological Assessment Scales (SENAS) executive composite score; Change from Baseline in Bushcke Cued Selective Reminding Task (CSRT) score; Change from Baseline in Verbal fluency (semantic) score; Change from Baseline in Verbal fluency (letter) score; Change from Baseline to Week 52 in Brain MRI measures of total grey matter.; Change from Baseline to Week 52 in Brain MRI measures of total brain volume.; Change from Baseline to Week 52 in Brain MRI measures of white matter hyperintensities.; Change from Baseline to Week 52 in total grey matter florbetaben binding on amyloid Positron Emission Tomography (PET); Change from Baseline in Cognitive Event Related Potential (ERP) measures of P600 word repetition.; Change from Baseline in Cognitive Event Related Potential (ERP) measures of alpha suppression effect.; Change from Baseline in Cognitive Event Related Potential (ERP) measures of anti-coupling between early theta and late alpha/beta activity.",,2021,2021; Not yet recruiting,,,drug,
Retinal fundus photography,NCT04567745,P1,"AD, MCI",100,12 m,retinopathy features identification,,2020,2021; Recruiting,,,biom,
AltoidaML,NCT04701177,,"MCI, AD",500000,60 m of follow up,Change in Diagnostic Area Under the Receiver Operating Characteristic Curve (ROC-AUC),,2021,2021; Not yet recruiting,,,device,
Canakinumab,NCT04795466,P2,"AD, MCI",90,Baseline through to 24 w,Change from baseline in cognition as measured by the Neuropsychological Test Battery (NTB) total score; Number of participants who experience adverse events and serious adverse events; Change from baseline in microglia activation as measured by Positron-Emission Tomography-Translocator Protein 18kDa - microglia activation; Change from baseline in neuropsychiatric symptoms as measured by the Neuropsychiatric Inventory (NPI) total score; Change from baseline in function (activities of daily living) as measured by the Everyday Cognition (eCog) total score; Change from baseline in memory as measured by the total Neuropsychological Test Battery memory composite score and change from baseline in executive function as measured by the total Neuropsychological Test Battery executive function composite score; Change from baseline in pharmacokinetic concentrations and immunogenetic anti-agent antibody levels in serum and/or plasma and/or cerebrospinal fluid,,2021,2021; Not yet recruiting,,,drug,
[18F]flutemetamol PET scan,NCT03466736,,"MCI, AD",210,baseline and one week,short-term practice effects,,2018,2021; Recruiting,,,biom,
"Accelerometer, Midodrine or atomoxetine pill",NCT04782830,N/A,"PD, MSA",29,7 d of treatment or placebo period,Total standing time measured by an accelerometer; Orthostatic symptoms; Total number of steps measured by an accelerometer; Total walking time measured by an accelerometer,,2021,2021; Recruiting,,,device,
Apomorphine,NCT04786158,,"CBD, PSP",7,6 m,Effects of subcutaneous apomorphine on pain; Effects of subcutaneous apomorphine on quality of life,,2021,2021; Completed,,,drug,
Eligard 22.5Mg Suspension for Injection,NCT03649724,P2,"MCI, AD",180,"Baseline, 48 Weeks",Percent change in Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-cog-11); Percent change in Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-in Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS-ADL); Alzheimer Disease Cooperative Study Clinical Global Impression of Change (ADCS-CGIC+); Percent change in Repeatable Battery for the Assessment of Neuropsychological Status (RBANS); Percent change in Burden Inventory; Percent change in Neuropsychiatric Inventory (NPI); Change in Brain Magnetic Resonance Imaging (MRI) biomarkers,,2018,2021; Recruiting,,,drug,
"MagVenture MagProX100 stimulator (MagVenture, Falun, Denmark)",NCT03836950,P1/P2,"MCI, PD",166,"baseline, 8 w, 12 w",change in NIH sponsored Executive Abilities: Measures and Instruments for neurobehavioral evaluation and re-search (NIH-EXAMINER) executive composite score,,2019,2021; Recruiting,,,device,
"cognitive training, memory strategy training",NCT03836963,N/A,"MCI, PD",45,"week 0 (before intervention begins), 8 w, 12 w",change in NIH sponsored Executive Abilities: Measures and Instruments for neurobehavioral evaluation and re-search (NIH-EXAMINER) executive composite score,,2019,2021; Recruiting,,,behav,
"Dasatinib, Quercetin",NCT04785300,P1/P2,"MCI, AD",20,11 w,Safety and Tolerability of 11 week of intermittent D+Q treatment,,2021,2021; Not yet recruiting,,,drug,
PlanYourLifespan.org,NCT03960476,N/A,"AD, MCI",700,"Baseline and every six m, up to 42 m",Change in long-term care plan decision-making; Participant utilization of long-term care services; Number of participants that implement any of their long-term care plans; Participant long-term care goal concordance,,2019,2021; Recruiting,,,behav,
"[18F]FDOPA, Carbidopa 200mg oral dose, Entacapone 400mg oral dose",NCT04246437,P1,"DLB, MSA, PD",40,95 minutes post-PET after start of PET imaging,Differences in FDOPA uptake across patient populations,,2020,2021; Recruiting,,,biom,
MindMate + Health Coaching,NCT04559789,N/A,"MCI, AD",200,Baseline to 24 m,Composite dementia risk; Rate of cognitive decline,,2020,2021; Recruiting,,,device,
Rapamycin,NCT04629495,P2,"AD, MCI",40,Baseline to 12 m,Number of adverse events; Change in glucose level; Change in albumin; Change in carbon dioxide or bicarbonate (CO2); Change in calcium; Central nervous system penetration of rapamycin; Change in Cognition using preclinical Alzheimer's Cognitive Composite 5 (PACC5); Change in Cognition using Clinical Dementia Rating Scale sum of Boxes (CDR-SOB); Change in Functional status; Change in Neuropsychiatric symptoms; Change in Gait Speed; Change in Grip Strength; Change in CSF amyloid beta; Change in cerebral glucose metabolism; Change in Brain Volumetry,,2020,2021; Not yet recruiting,,,drug,
"Flutemetamol F18 Injection, [18F]-RO6958948, Elecsys (Roche) Abeta42, Ttau and Ptau, Lumipulse (Fujirebio) Abeta42, Ttau and Ptau",NCT03174938,N/A,"MCI, MSA, CBD, PSP, FTDLD, PD, AD",1505,Time zero equals the baseline visit. All subjects will subsequently attend follow-up visits every year for approximately 2-8 years after baseline.,Clinical diagnosis; Clinical Dementia Rating-Sum of Boxes (CDR-SB); Rate of cognitive decline as measured by MMSE.; Rate of cognitive decline as measured in ADL-function.; Rate of volume change of structural MRI measures and amyloid PET; Rates of change on cerebrospinal fluid AD biomarkers,,2017,2021; Recruiting,,,biom,
CORT108297,NCT04601038,P2,"AD, MCI",52,After 2 w of treatment,"Memory as assessed by pattern separation task performance after 2 weeks of treatment with CORT108297; Memory as assessed by the Hopkins Verbal Learning Test-Revised Edition (HVLT-R) after 2 weeks of treatment with CORT108297; Executive functioning as assessed by the Trail Making Test (TMT), part B after 2 weeks of treatment with CORT108297; Executive functioning as assessed by the Digit Span Task (digit span backwards) after 2 weeks of treatment with CORT108297",,2020,2021; Recruiting,,,drug,
"High level of signal manipulation, Low level of signal manipulation",NCT04240561,N/A,"MCI, AD",20,Change from Baseline to final appointment in each hearing aid condition will be assessed. Participants will take an unaided baseline at the start of the trial. Measure will be repeated at the end of each intervention (3-5 w after each fitting).,Change In Speech Intelligibility (%Correct); Change in Conversation Analysis of Communication Breakdown,,2020,2021; Not yet recruiting,,,device,
Transcranial Magnetic Stimulation,NCT04771845,,"MCI, AD",73,05/01/2008-05/30/2020,"Controlled Oral Word Association Test; Boston 30-item naming test; Wechsler Adult Intelligence Scale III; Wechsler Memory Scale III; Buschke Selective Reminding Test, 12 item; Buschke Selective Reminding Test, 12 item, 15 minute; Rosen Drawing Test; Processing speed; Mini-mental status examination",,2021,2021; Completed,,,device,
"Intravenous BMSC, Intranasal BMSC",NCT02795052,N/A,"ALS, MSA, PSP, PD, CTE",300,3 to 12 m,Activities of Daily Living (ADL); Neurologic Functioning,,2016,2021; Recruiting,,,stem,
"Brain fitness app, Brain fitness app with tACS",NCT03587012,N/A,"AD, MCI",30,"baseline, post-intervention within a week after the end of 4-week trial and a month after the second assessment",Change in Wechsler Memory Scale (WMS IV); Change in Egocentric Spatial Orientation; Change in MONTGOMERY ASBERG DEPRESSION RATING SCALE (MADRS),,2018,2021; Recruiting,,,device,
"Intravenous Bone Marrow Stem Cell (BMSC) Fraction, Intranasal Topical Bone Marrow Stem Cell (BMSC) Fraction, Near Infrared Light",NCT03724136,N/A,"HD, AD, CTE, PD",100,"1,3,6,and 12 m post treatment",Mini-Mental Status Exam (MMSE); Autism Spectrum Quotient Exam; Activities of Daily Living,,2018,2021; Recruiting,,,stem,
SNK01,NCT04678453,P1,"AD, MCI",21,"Baseline, Week 11, End of Study (Week 22)","To determine the safety profile of SNK01 monotherapy in patients with mild cognitive impairment (MCI) or Alzheimer's Disease by monitoring for adverse events.; To determine the tolerability of SNK01 monotherapy in patients with mild cognitive impairment (MCI) or Alzheimer's Disease by monitoring for adverse events.; To determine the maximum tolerated dose (MTD)/recommended Phase 2 dose (RP2D) of SNK01 monotherapy.; To assess preliminary efficacy of SNK01 measured by Alzheimer's Disease Assessment Scale Cognitive subscale (ADAS-Cog).; To assess preliminary efficacy of SNK01 measured by Mini-Mental Status Exam (MMSE).; To assess preliminary efficacy of SNK01 measured by Clinical Dementia Rating Scale: Sum of Boxes (CDR-SB).; To assess preliminary efficacy of SNK01 measured by Alzheimer's Disease Composite Score (ADCOMS).; To assess preliminary efficacy of SNK01 measured by cerebrospinal fluid (CSF) biomarkers: amyloid beta 42, T-tau and P-tau.",,2020,2021; Recruiting,,,drug,
"Memory Training, Kundalini yoga and meditation",NCT03503669,N/A,"AD, MCI",100,Measured at Week 24,Hopkins Verbal Learning Test (HVLT) total recall score,,2018,2021; Completed,,,behav,
Metformin,NCT04220021,P2,"FTDLD, ALS",18,Baseline through Week 52,Number of subjects with treatment-emergent adverse events [Safety and Tolerability]; Change in RAN protein levels; Change in ALS Functional Rating Scale (ALSFRS-R) score,,2020,2021; Recruiting,,,drug,
"Mobile Phone Application Assessments, Standard Assessments",NCT04482036,N/A,"AD, MCI",308,Calculated at 6 m,Feasibility of the BrainCare Notes (BCN) app - Caregiver Completion Rate of the Neuropsychiatric Interview Questionnaire (NPI-Q) at 3 months; Feasibility of the BrainCare Notes (BCN) app - Caregiver Completion Rate of the Neuropsychiatric Interview Questionnaire (NPI-Q) at 6 months; Feasibility of the BrainCare Notes (BCN) app - Survey Burden Mean at 3 months; Feasibility of the BrainCare Notes (BCN) app - Survey Burden Mean at 6 months; Usability of the BrainCare Notes (BCN) app - System Usability Scale Results at 3 months; Usability of the BrainCare Notes (BCN) app - System Usability Scale Results at 6 months; Change in Behavioral and Psychological Symptoms of Dementia Ratings at 3 months; Change in Behavioral and Psychological Symptoms of Dementia Ratings at 6 months; Change in Caregiver Distress at 3 months; Change in Caregiver Distress at 6 months; Change in Perceived Stress Scale 14 (PSS-14) Score at 3 months; Change in Perceived Stress Scale 14 (PSS-14) Score at 6 months; Change in Short Form Zarit Burden Interview (ZBI-12) Score at 3 months; Change in Short Form Zarit Burden Interview (ZBI-12) Score at 6 months,,2020,2021; Enrolling by invitation,,,device,
Spironolactone,NCT04522739,P4,"MCI, AD",30,"Baseline, Month 6, Month 12",Change in Digit Span Test Score; Count of Adverse Events; Attrition rate; Change in Trail Making Test Part A Score; Change in Trail Making Test Part B Score; Change in Hopkins Verbal Learning Test-Revised (HVLT-R) Total Recall Score; Change in Hopkins Verbal Learning Test-Revised (HVLT-R) Delayed Recall Score; Change in Hopkins Verbal Learning Test-Revised (HVLT-R) Recognition Discrimination Index Score; Change in Montreal Cognitive Assessment (MoCA) Score; Change in NIH Toolbox Cognitive Battery - Cognitive Function Composite Score,,2020,2021; Not yet recruiting,,,drug,
No intervention. Only survey and normal use of eye-tracking,NCT04748263,,"AD, PD",70,Baseline,Eye gaze strategies (number of eye fixation) during Affective Theory of Mind (ToM); Eye gaze strategies (duration of eye fixations) during Affective Theory of Mind (ToM); Eye gaze strategies (response times) during Affective Theory of Mind (ToM); Eye gaze strategies (number of eye fixation) during Facial emotion recognition (FER); Eye gaze strategies (duration of eye fixation) during Facial emotion recognition (FER); Eye gaze strategies (response times) during Facial emotion recognition (FER); Facial emotion recognition (FER) performances; Affective ToM performances; Behavioral disorders.,,2021,2021; Completed,,,delete,
"MRI acquisition, behavioral evaluations",NCT02428816,N/A,"PD, MSA",94,1 year,The primary outcome measure to discriminate individual patients and patients with MPI and AMS through multimodal MRI isolating multiparametric spatial signature resulting from a combination of markers in multimodal imaging.; correlate MP and MSA disease severity with extracted multimodal MRI biomarkers in whole brain,,2015,2021; Completed,,,biom,
punch skin biopsy,NCT04518059,,"PSP, MSA, CBD, DLB, PD",250,"Baseline, optional 1 year assessment, and optional 2 year assessment",Amount of alpha-synuclein in the skin; Change in PSPRS measures of progressive supranuclear palsy (PSP) severity in people with PSP; Change in UMSARS measures of multiple system atrophy (MSA) severity in people with MSA; Change in Hoehn and Yahr (H&Y) and modified H&Y Scores; Change in Schwab and England (S&E) Score; Change in Montreal Cognitive Assessment (MoCA); Change in Epworth Sleepiness Scale (ESS); Change in Hamilton depression scale; Change in Hamilton anxiety scale; Change in REM Behavior Disorder Questionnaire; Change in blood pressure with orthostatic posture; Amount of alpha-synuclein in the blood; Change in PDQ-39,,2020,2021; Recruiting,,,biom,
Transcranial direct current stimulation (tDCS) Soterix Medical Inc. tDCS unit,NCT02155946,N/A,"AD, MCI",100,post treatment (within ~ 96 hours) & 3 m,Functional MRI; Face-name memory test performance; Object Location Association memory test performance; fMRI; Objective memory test performance; Subjective memory test performance on the MMQ; Planned (tertiary) analyses of patient-specific characteristics that affect treatment outcome,,2014,"2021; Active, not recruiting",,,device,
DaTSCAN™ Ioflupane (123I) Injection,NCT04193527,P3,"PD, MSA, PSP",172,32 Days,• Assessment of DaTSCAN™ SPECT images by 3 independent blinded readers to compare specific striatal uptake with the clinical diagnosis.; • Central read (by semi-quantitative assessment by use of DaTQUANT™) of DaTSCANTM SPECT images to compare specific uptake with clinical diagnosis.; • Comparison and assessment of safety parameters and AEs reported by all study participants.,,2019,2021; Recruiting,,,biom,
Biomarker Data Collection,NCT04733989,,"AD, MCI",1000,"Through study completion, an average of 1 year","Measurement of each participant's blood-based biomarker (Beta-Amyloid, Phospho-Tau, Neurofilament Light Chain) levels will be collected through blood sampling.; Measurement of each participant's amyloid levels in the brain will be collected through amyloid PET brain scan imaging.",,2021,2021; Not yet recruiting,,,biom,
TSB Axo,NCT04736017,N/A,"MCI, PD",48,assessed every second or third day during the intervention period (d 1-14 and 29-41),Change in objective EDS; Difference in CSF alpha-synuclein; Change in verbal episodic memory performance; Difference in CSF tau; Subjective EDS; Sustained attention; Vigilance; Subjective nocturnal sleep quality; Fatigue; Executive Function; Attention performance; Plasma biomarkers; CSF biomarkers; Subjective sleep quality; Subjective mood; Subjective momentary sleepiness; Digital biomarkers; Sleep intensity; Depressive symptoms; Verbal episodic and visuospatial memory function; Quality of life questionnaire; Motor symptoms; Focused motor assessment,,2021,2021; Not yet recruiting,,,device,
