Table 4.  Biomarkers in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
"Flortaucipir, Florbetaben, Fluorodeoxyglucose",NCT03507257,,"MCI, AD",700,"CN participants: Month 0, Month 12 and Month 24; EOAD/EOnonAD participants: Month 0, Month 12, Month 24, Month 36 and Month 48",Rate of change in cognition as measured by the Alzheimer's Disease Assessment Scale-Cognitive (ADAS-Cog13); Rate of change in cognition as measured by the Clinical Dementia Rating - Sum of Boxes (CDR-SB); Change in tau deposition as measured by flortaucipir (18F-AV-1451) Positron Emission Tomography (PET) imaging; Change in amyloid deposition as measured by florbetaben using Positron Emission Tomography (PET) imaging; Neurodegeneration as measured by fluorodeoxyglucose (FDG) Positron Emission Tomography (PET) imaging compared to magnetic resonance imaging (MRI); Change in brain structure using magnetic resonance imaging (MRI); Change in cerebrospinal fluid (CSF) biomarkers; Change in plasma biomarkers,,2018,2020; Recruiting,,,
[F-18]FDDNP-PET,NCT04311281,,"AD, CTE",180,2 years,Clinical Dementia Rating Sum of Box Scores (CDR-SB); Change in Executive Functioning Domain Score; Conversion to Dementia,,2020,2020; Not yet recruiting,,,
"AV1451 Tau, C-11 PiB",NCT04680130,,"CBD, FTDLD, PSP",500,1 year,Imaging analysis,,2020,2020; Recruiting,,,
Florbetapir F 18 PET Scan,NCT02951598,N/A,"MCI, AD",1400,Baseline through Study Completion (36 Months),Mean Economic Cost Associated with Amyloid Positive AD; Healthcare Resource Use by AD Cohort; Mean Economic Cost by AD Cohort; Bath Assessment of Subjective Quality of Life in Dementia (BASQID); Mini-Mental State Examination (MMSE); Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-Cog14); Neuropsychiatric Inventory (NPI); Functional Activities Questionnaire (FAQ); Cognitive Function Inventory (CFI); Zarit Burden Interview (ZBI); Percentage of Participants with a Change in Living Situation; Time to Transition Across Stages of AD; Desire to Institutionalize Scale (DTI),,2016,"2020; Active, not recruiting",,,
[18F]THK-5351,NCT02656498,P2,"MCI, AD",135,50-70 minutes post-injection,Cross-sectional [18F]THK-5351 Imaging Results; Assess the rate of change of tau deposition as measured by [18F]THK-5351 uptake (SUVR) over time; Correlation between standard uptake value ratio (SUVR) of [18F]THK-5351 positron emission computed tomography and neuropsychiatric test scores; Correlation between standard uptake value ratio (SUVR) of [18F]THK-5351 positron emission computed tomography and indices of structural MRI; Correlation between standard uptake value ratio (SUVR) of [18F]THK-5351 positron emission computed tomography and indices of functional MRI; Correlation between standard uptake value ratios (SUVR) and distribution of [18F]THK-5351 positron emission computed tomography and amyloid positron emission computed tomography,,2016,2020; Completed,,,
[18F]PI-2620,NCT03510572,Early P1,"AD, PD, FTDLD",20,60-90 minutes post injection,Cross-sectional [18F]PI-2620 Imaging Results; .Assess the rate of change of tau deposition as measured by [18F]PI-2620 uptake (SUVR) over time; Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and neuropsychiatric test scores; Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and indices of structural MRI,,2018,2020; Completed,,,
[18F]PI-2620,NCT03903211,P2,"AD, MCI",72,0-90 minutes post injection,Cross-sectional PI-2620 uptake measured by standard uptake value ratio (SUVR); Changes of PI-2620 uptake over time measured by standard uptake value ratios (SUVR); Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and neuropsychiatric test scores; Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and indices of structural MRI,,2019,2020; Recruiting,,,
Neuropsychological assessment and Multimodal brain MRI,NCT04616287,N/A,"AD, DLB",70,m 3,Neuropsychological assessment; Multimodal brain MRI,,2020,2020; Not yet recruiting,,,
Pittsburgh Compound B [11C]-PIB,NCT02524405,,"PD, MCI, AD",345,One-time assessment,Retinal nerve fiber layer thickness; Amyloid Depostition; Retinal artery narrowing; Retinal venular widening,,2015,2020; Recruiting,,,
"Retinal Imaging, Pupillometry, Contrast Sensitivity, Neuropsychological Evaluation, APOE genotyping, blood draw, Gait Assessment, Actigraphy",NCT03862222,,"AD, MCI",330,5 years,"general cognition; memory; physiological; processing speed, attention; language; Structural retinal biomarkers assessed with OCT; Metabolic retinal biomarkers assessed with OCT; vascular retinal biomarkers assessed with OCT-A",,2019,2020; Recruiting,,,
"Flortaucipir F18, Brain PET scan",NCT04468347,P1,"MCI, AD",89,baseline scan,Number of Participants With AD Pattern Flortaucipir PET Scan and Relationship to Cognitive Status; Number of Participants With Advanced AD Pattern Flortaucipir PET Scan and Relationship to Cognitive Status; Flortaucipir PET Imaging (Quantitative),,2020,2020; Completed,,,
Retinal Imaging,NCT03233646,N/A,"PD, AD, MCI, HD",1000,12 m,Choroidal Thickness; Foveal avascular zone; Vessel Density,,2017,2020; Recruiting,,,
"Flortaucipir F18, Brain PET scan",NCT02167594,P1,"CBD, PSP",29,baseline and 9 month scans,"Flortaucipir Imaging in PSP, CBD and Healthy Volunteers",,2014,2020; Completed,,,
"I-123 Ioflupane solution injection prior to SPECT scan (DaTscan), Single photon emission computed tomography (SPECT) scan",NCT01453127,P4,"PD, MCI",500,Participants will be followed for 1-3 d after scan.,Correlate the DaTscan findings with clinical diagnosis; Safety of DaTscan imaging,,2011,2020; Enrolling by invitation,,,
[18F]MNI-1126,NCT03587649,P1,"AD, PD,  ",12,1 year,Regions in the VOI template will be used to quantify the regional tracer uptake and used for comparison of potential uptake differences across the different groups.,,2018,2020; Completed,,,
GE180 PET Scan,NCT03702816,P2,"PD, AD",70,Baseline,Linear Regression Model Assessing Cognitive Performance and Regional Microglial Activation; Repeated Measures Analyses to Asses Change in Microglial Activation Over Time; Linear Regression Model Assessing Cognitive Performance and Global Microglial Activation,,2018,2020; Enrolling by invitation,,,
18F-AV-1451 (Tau-PET tracer),NCT02958670,N/A,"MCI, AD",150,Baseline and two years,Volume of Interest (VOI) or Voxel based assessment of 18F-AV-1451-PET-signal; Transition from one clinical state to another (e.g. MCI to AD) worsening of clinical function measured as an increase in CDRSOB-score of one; Neuropsycholgical test performance; Magnetresonance Tomography (MR) readouts; Blood and CSF-biomarker-read outs,,2016,2020; Enrolling by invitation,,,
"DVA, FDOCT, Pattern ERG, Optical Coherence Tomography",NCT02663531,N/A,"AD, MCI",150,1 day,Flicker induced increase in retinal blood flow,,2016,2020; Recruiting,,,
[18F]MNI-958,NCT03545789,P1,"PSP, AD",16,1 year,"Tracer uptake will be evaluated in regions of interest for analysis of regional [18F]MNI-958 binding/uptake and expressed in SUV by using established methods for normalization for 4 AD, 7 PSP, and 3 HV subjects.",,2018,2020; Completed,,,
[18F]Flutemetamol,NCT02778971,,"AD, MCI",50,within 30 d post amyloid PET scan,Proportion of drug management options changed after amyloid PET; Change in % likelihood of Alzheimer's disease (AD) diagnosis after amyloid PET scan; Proportion of care practices changed after amyloid PET scan; Proportion of change in leading diagnosis after amyloid PET; Change in physician confidence in leading diagnosis; Change in care partner's confidence in diagnosis after amyloid PET; Change in care partner satisfaction with evaluation after amyloid PET; Change in care partner assessment of the quality of evaluation after amyloid PET; Proportion of care partners finding amyloid PET scan worthwhile; Proportion exhibiting increased behavior disturbance during amyloid scan visit; Proportion exhibiting increased behavior disturbance when the diagnosis is given; Percentage of recommended care practices adhered to after amyloid PET scan; Percentage of recommended drug management adhered to after amyloid PET scan; Change in the interpretation of amyloid PET scans with semi-quantitative image analysis,,2016,2020; Recruiting,,,
repetitive transcranial magnetic stimulation,NCT04222218,N/A,"PD, PSP",20,Changes from Baseline to immediately after stimulation,"Short Physical Performance Battery, total time (SPPB); Timed up and Go tests, total time (TUG); Static Balance tests, total time; Tinetti Balance test (TBT); Static Balance- area of sway; PSP rating scale (PSP-RS); Static Balance: wearable sensor analyses - velocity; Static Balance: wearable sensor analyses - acceleration; Static Balance: wearable sensor analyses - jerk",,2020,2020; Completed,,,device
"Florbetapir, Flortaucipir",NCT01231971,,"AD, MCI",1182,1 year,"Correlations among biomarkers and biomarker change; APOE genotype, low CSF Aβ42, positive amyloid imaging with florbetapir F 18 (AV-45); Rate of change of tau and extent of tau deposition as measured by flortaucipir (18F-AV-1451); Extent of amyloid deposition as measured by Florbetapir F 18; Group differences for each imaging and biomarker measurement; Rate of volume change of whole brain, hippocampus and other structural MRI measures; Rate of Decline as measured by: Cognitive Tests, Activities of Daily Living, and CDR Sum of Boxes; Rate of conversion will be evaluated among all five groups; Rates of change on each specified biochemical biomarker; Rates of change of glucose metabolism (FDG-PET); Rate of cognitive decline using computer based testing as measured by Cogstate Brief Battery (CBB)",,2010,2020; Completed,,,
F-18,NCT03625128,Early P1,"FTDLD, AD, PSP",36,YEAR ONE,The primary outcome measures are to evaluate the dosimetry of novel radiotracer 18F-PM-PBB3 in human.; Optimal scanning time for brain imaging using 18F-PM-PBB3 .,,2018,2019; Completed,,,
Boston Cognitive Assessment (BoCA),NCT04114994,,"MCI, FTDLD, AD, PD",10000,"through study completion, an average of 1 year",Boston Cognitive Assessment (BoCA),,2019,2019; Recruiting,,,delete
Brainsway H1-Coil Deep TMS System,NCT03665831,N/A,"MCI, AD",28,4 w,Change From Baseline on the Montgomery-Asberg Depression Rating Scale (MADRS); Remission Rates Compared Within Treatment Group; Response Rates Compared Within Treatment Group; Change From Baseline on the Quality of Life Enjoyment and Satisfaction Questionnaire (Q-LES-Q); Change From Baseline on the Neuropsychological Battery; Change in Functional Connectivity between PFC and Limbic Regions; Change in Perfusion within Prefrontal Cortex (PFC) and Posterior Cingulate Cortex (PCC); Change in frontal theta power within the Anterior Cingulate Cortex (ACC),,2018,2019; Recruiting,,,
[18F] PBR06,NCT01028209,P1,"AD, PD",12,1 year,"To evaluate [18F] PBR06 PET imaging as a tool to detect microglial activation in the brain of AD, PD and MS research participants.",,2009,2019; Terminated,,,
"[18F]MK-6240, ~185 MBq, [18F]MK-6240, ~160 MBq",NCT02562989,P1,"AD, MCI",13,Up to 16 w following initial dose of [18F]MK-6240,Intra-subject Test-Retest (T-RT) Variability of Standardized Uptake Value Ratio (SUVR) in Brain Regions of Interest; Standardized Uptake Value Ratio (SUVR) of [18F]MK-6240 in Brain Regions of Interest; Organ Effective Dose of [18F]MK-6240; Effective Dose of [18F]MK-6240; Number of Participants Who Discontinued Study Due to an AE; Number of Participants With Adverse Events (AEs),,2015,2018; Completed,,,
"Sapphire II, Aftobetin-HCl, Positron Emission Tomography",NCT02928211,P1,"MCI, AD",105,"through study completion, approximately 4 w","Paired pre-ligand and post ligand fluorescent uptake values (FUV); Determination of success (yes or no); The overall diagnostic precision for each combination of Aftobetin-HCl administrations and Fluorescent Uptake Value (FUV); Estimates of sensitivity and specificity of MCI and mild AD subjects compared to cognitively normal subjects; Safety of Sapphire II procedure as determined by instances of Adverse Events; Characterization of maximal fluorescence after 1, or potentially 3, ointment administrations; Intra-class correlation of the repeatability of the Sapphire II measurements to verify the system's reliability for reproducible results; Correlation of FUV to PET amyloid status",,2016,2018; Unknown status,,,
Florbetapir F 18,NCT01518374,P2,"AD, MCI",1768,48 hours,Number of Participants Experiencing Treatment-emergent Adverse Events Considered Related to Florbetapir Administration,,2012,2018; Completed,,,
non-invasive retinal imaging,NCT03472482,,"MCI, AD",85,2 years,Diagnostic performance of OCT measurements in dementia,,2018,2018; Unknown status,,,
"biomarkers, MRI and CSF",NCT01315639,N/A,"MCI, AD",1067,t0,Ratio of CSF sAPPβ and CSF sAPPα; Ratio of plasma Aβ and plasma Tau; Plasma Tau; MRI biomarkers; Mean concentration of plasma AB peptides; plasma levels of Tau protein; Mean concentration of biomarker; MRI; Transcriptomics biomarkers; Bace peptide; TACE/ADAM17; Cathepsin; sAPPβ,,2011,2018; Unknown status,,,
"Non-invasive, multimodal retinal imaging, Cerebral imaging, Neuropsychiatric testing, Venous blood sampling",NCT03466177,,"MCI, AD",90,2 years,Retinal biomarkers for AD: specificity; Retinal biomarkers for AD: sensitivity; Retinal biomarkers for AD: number needed to image; Retinal biomarkers for AD: area under the curve (AUC); Retinal biomarkers for AD: receiver operating characteristic (ROC); Retinal biomarkers for AD: quantification of cerebral Aβ load by non-invasive retinal imaging against the cerebral Aβ load measured by cerebral imaging; Retinal biomarkers for AD: disease progression by measuring the change from baseline at 2 years,,2018,2018; Unknown status,,,
PET Scan,NCT02420756,,"AD, MCI",18488,12 m,To assess the impact of amyloid PET on the management of patients meeting Appropriate Use Criteria (AUC); To assess the impact of amyloid PET on hospital admissions and emergency room visits in patients enrolled in the cohort (amyloid PET-known) compared to matched patients not in the cohort (amyloid PET-naïve) over 12 months,,2015,2017; Completed,,,
[18F] Flutemetamol,NCT02813070,P2,"MCI, AD",70,Up to 90 minutes after IMP administration,Blinded Visual Assessment of Positron Emission Tomography (PET) Imaging and Clinical Diagnosis by Japanese Readers; Blinded Visual Assessment of Positron Emission Tomography (PET) Imaging and Clinical Diagnosis by Non-Japanese Readers,,2016,2017; Completed,,,
Beta amyloid imaging,NCT02309723,N/A,"AD, MCI",315,Online Survey - completion during the estimated 2-3 month field period,Likelihood of Recommending That Spouse Take Various Cognitive Deficit Disease Management Measures; Likelihood of Recommending a Medication Indicated for Alzheimer's Disease; Influence of the Neuroimaging Test on a Finding of Alzheimer's Disease as the Underlying Cause of the Mild Memory Loss,,2014,2017; Completed,,,
"Siemens ""Biograph mMR"" PET-MR (3T)",NCT03030365,,"AD, MCI",30,1 Day,Orientation performance; Cortical atrophy; Functional connectivity analysis; Mental-orientation evoked fMRI activity; [18]F-fluorodeoxyglucose (FDG) uptake,,2017,2017; Unknown status,,,
[18F]FPEB,NCT00870974,P1,"HD, PD, AD, MCI",48,at completion of scans,Does FPEB reliably represent the known distribution of MGLUR5 in the brain?,,2009,2017; Completed,,,
[18F]T807 ([18F]MNI-777),NCT02103894,P1,"PD, PSP, AD, CTE",16,2 years,Brain uptake of [18F]T807 ([18F]MNI-777),,2014,2016; Completed,,,
[18F]MNI-815 (MNI-815),NCT02531360,Early P1,"PSP, AD",7,18 m,Brain uptake of [18F]MNI-815,,2015,2016; Completed,,,
"Magnetic resonance imaging, Positron emission tomography",NCT01815112,N/A,"MCI, AD",60,Day 366,Dynamic FDG (fluoro-deoxyglucose) PET; Aqueductal CSF flow; Follow-up MRI; Follow-up PET,,2013,2015; Terminated,,,
Flutemetamol (18F) Injection,NCT01028053,P3,"MCI, AD",365,Up to 36 m post flutemetamol administration.,The of Normal and Abnormal Subjects Who Convert to Probable Alzheimer's Disease (pAD) Within the Follow up Period.; Hazard Ratio (HR) by PET Scan Readers for Conversion to Probable Alzheimer's Disease Based on Visual Image Interpretation.,,2009,2014; Completed,,,
[18F] CFPyPB,NCT01461109,P1,"AD, PD",4,Approximately 2 years,To assess the dynamic uptake and washout of [18F] CFPyPB; Perform blood metabolite characterization of [18F] CFPyPB; To obtain safety data; Obtain test/retest reproductibility,,2011,2014; Completed,,,
[123I]-IBVM,NCT00480701,P2,"AD, PD",26,2 w to 6 m,Does 123-I IBVM SPECT provide a quantitative measure of acetylcholinergic transporters in Healthy controls and AD patients?; Does 123-I IBVM SPECT demonstrate reduced acetylcholinergic transporter binding in AD compared to healthy controls?; Does 123-I IBVM SPECT provide a reliable measure of acetylcholinergic transporters in healthy controls and AD patients?,,2007,2014; Completed,,,
[18F]DPA-714 PET/ [18F]AV-45 PET/neuropsychological assessment,NCT02062099,P1,"AD, MCI",36,2 years,"Fixation and distribution of [18F]DPA-714 (Binding Potential BP); [18F]AV-45 Standard Uptake Values ratio; Relationship between [18F]DPA-714 uptake and cognitive, affective symptoms at baseline.",,2014,2014; Unknown status,,,
[18F]Flutemetamol,NCT01672827,P3,"MCI, AD",276,Post flutemetamol administration,Summary of Specificity of Blinded Visual PET Image Interpretations Without Anatomic Images.; Inter-Reader Agreement of PET Images Without Anatomic Images; Summary of Sensitivity of the Blinded Visual PET Image Interpretations Without Anatomic Images.,,2012,2014; Completed,,,
florbetapir (18F),NCT01662882,P2/P3,"MCI, AD",48,50-60 min after injection,Mean Cortical to Cerebellum SUVR; Qualitative Amyloid Image Assessment,,2012,2013; Completed,,,
Biomarker,NCT01874418,N/A,"MCI, AD",90,baseline,Oligomeric beta-amyloid 42 in serum; Total tau concentration in CSF; Phosphorylated tau concentration in CSF; Monomeric beta-amyloid 42 in CSF; PiB PET; FDG-PET; Brain MRI,,2013,2013; Unknown status,,,
florbetapir F 18,NCT00857506,P2,"MCI, AD",152,Baseline and 36 m,Correlation of Change in ADAS-Cog and SUVR; Covariate Adjusted Psychometric Score Change; Cognitive Decline in CN and AD Subjects; Change in ADAS-Cog in CN and AD Subjects; Cognitive Decline in MCI Subjects; Change in ADAS-Cog for MCI Subjects,,2009,2013; Completed,,,
"18F-AV-133, 18F-AV-45",NCT01503944,P1/P2,"PD, AD, DLB",30,Four Weeks,18F-AV-133 striatal to occipital standard uptake value ratio; 18F-AV-45 cortical to cerebellar standard uptake value ratio,,2012,2012; Completed,,,
florbetapir F 18,NCT01550549,N/A,"AD, MCI",151,Baseline scan,Individual Reader Results (Autopsy Within 1 Year of Scan); Individual Reader Results (All Scans With Autopsy); Median Sensitivity and Specificity vs. CERAD Diagnosis; Inter-reader Reliability; Specificity of Florbetapir-PET to Detect no or Sparse Beta-amyloid Neuritic Plaques (Probable/Definite Alzheimer's Disease); Sensitivity of Florbetapir-PET to Detect Moderate to Frequent Beta-amyloid Neuritic Plaques (Probable/Definite Alzheimer's Disease); Inter-rater Reliability,,2012,2012; Completed,,,
florbetapir F 18,NCT00702143,P2,"MCI, AD",184,50-60 min after injection,Mean Cortical to Cerebellum SUVR; Proportion of Positive Florbetapir-PET Scans; Qualitative Amyloid Image Assessment,,2008,2012; Completed,,,
[18F]-FEPPA,NCT00970333,P1,"PD, AD",3,one year,"The primary imaging outcome measure will be the brain regional distribution volumes expressed as a brain tissue to plasma ratio of the radioligand, [18F]-FEPPA.",,2009,2012; Completed,,,
PET scan & fMRI,NCT00243451,,"AD, MCI",34,within the next three years,"Determine if the Cognitive Decline Index will discriminate subtle lesions earlier than the standard analysis of the Nuclear Medicine physician.; Determine if sensitivity, specificity, receiver-operator characteristics, and predictive value of our method are appropriate for translation into a clinically useful tool.",,2005,2011; Completed,,,
